category,logfile,a,b,c,d,e,f,g,ok,error,elapsed
azoarene,1.log,9,15,7,8,1,2,6,1,,0.004
azoarene,10.log,11,22,9,10,8,2,7,1,,0.004
azoarene,11.log,12,25,10,11,9,2,7,1,,0.009
azoarene,12.log,11,22,9,10,3,2,4,1,,0.004
azoarene,13.log,9,16,7,8,3,2,4,1,,0.003
azoarene,14.log,9,15,7,8,3,2,4,1,,0.002
azoarene,15.log,9,15,7,8,6,4,5,1,,0.004
azoarene,16.log,9,15,7,8,3,2,4,1,,0.003
azoarene,17.log,11,15,9,10,1,2,7,1,,0.003
azoarene,18.log,11,15,9,10,1,2,7,1,,0.003
azoarene,19.log,13,23,11,12,1,2,8,1,,0.006
azoarene,2.log,9,13,7,8,5,4,6,1,,0.003
azoarene,20.log,12,19,10,11,1,2,6,1,,0.005
azoarene,21.log,11,19,9,10,1,2,6,1,,0.006
azoarene,22.log,13,19,11,12,1,2,6,1,,0.004
azoarene,23.log,16,31,14,15,1,2,6,1,,0.014
azoarene,24.log,17,34,15,16,1,2,6,1,,0.014
azoarene,25.log,17,31,15,16,1,2,6,1,,0.009
azoarene,3.log,9,14,7,8,5,4,6,1,,0.002
azoarene,4.log,9,15,7,8,5,4,6,1,,0.003
azoarene,5.log,10,18,8,9,6,4,7,1,,0.003
azoarene,6.log,9,15,7,8,4,3,5,1,,0.003
azoarene,7.log,11,21,9,10,6,4,7,1,,0.003
azoarene,8.log,9,15,7,8,6,2,5,1,,0.003
azoarene,9.log,10,18,8,9,6,2,5,1,,0.003
