category,logfile,a,b,c,d,e,f,g,ok,error,elapsed_sec
azoarene,1.log,9,15,7,8,1,2,6,1,,0.041
azoarene,10.log,11,22,9,10,8,2,7,1,,0.045
azoarene,11.log,12,25,10,11,9,2,7,1,,0.053
azoarene,12.log,11,22,9,10,3,2,4,1,,0.043
azoarene,13.log,9,16,7,8,3,2,4,1,,0.038
azoarene,14.log,9,15,7,8,3,2,4,1,,0.038
azoarene,15.log,9,15,7,8,6,4,5,1,,0.042
azoarene,16.log,9,15,7,8,3,2,4,1,,0.039
azoarene,17.log,11,15,9,10,1,2,7,1,,0.04
azoarene,18.log,11,15,9,10,1,2,7,1,,0.044
azoarene,19.log,13,23,11,12,1,2,8,1,,0.054
azoarene,2.log,9,13,7,8,5,4,6,1,,0.032
azoarene,20.log,12,19,10,11,1,2,6,1,,0.05
azoarene,21.log,11,19,9,10,1,2,6,1,,0.05
azoarene,22.log,13,19,11,12,1,2,6,1,,0.055
azoarene,23.log,16,31,14,15,1,2,6,1,,0.109
azoarene,24.log,17,34,15,16,1,2,6,1,,0.11
azoarene,25.log,17,31,15,16,1,2,6,1,,0.074
azoarene,3.log,9,14,7,8,5,4,6,1,,0.039
azoarene,4.log,9,15,7,8,5,4,6,1,,0.041
azoarene,5.log,10,18,8,9,6,4,7,1,,0.046
azoarene,6.log,9,15,7,8,4,3,5,1,,0.042
azoarene,7.log,11,21,9,10,6,4,7,1,,0.052
azoarene,8.log,9,15,7,8,6,2,5,1,,0.044
azoarene,9.log,10,18,8,9,6,2,5,1,,0.046
heck_boronic_acids,H.log,9,15,7,8,6,1,5,1,,0.048
heck_boronic_acids,m-CN.log,9,16,7,8,6,1,5,1,,0.043
heck_boronic_acids,m-OMe.log,9,16,7,8,6,1,5,1,,0.044
heck_boronic_acids,m-SO2Me.log,9,18,7,8,6,1,5,1,,0.051
heck_boronic_acids,o-CF3.log,9,18,7,8,6,1,5,1,,0.041
heck_boronic_acids,o-Cl.log,9,15,7,8,6,1,5,1,,0.036
heck_boronic_acids,o-F.log,9,15,7,8,6,1,5,1,,0.035
heck_boronic_acids,o-Me.log,9,15,7,8,6,1,5,1,,0.035
heck_boronic_acids,o-OMe.log,9,16,7,8,6,1,5,1,,0.036
heck_boronic_acids,o-Ph.log,9,20,7,8,6,1,5,1,,0.046
heck_boronic_acids,o-iPr.log,9,17,7,8,6,1,5,1,,0.039
heck_boronic_acids,p-CO2Me.log,9,18,7,8,6,1,5,1,,0.079
heck_boronic_acids,p-COMe.log,9,17,7,8,6,1,5,1,,0.098
heck_boronic_acids,p-Cl.log,9,15,7,8,6,1,5,1,,0.03
heck_boronic_acids,p-F.log,9,15,7,8,6,1,5,1,,0.031
heck_boronic_acids,p-OMe.log,9,16,7,8,6,1,5,1,,0.037
heck_boronic_acids,p-tBu.log,9,18,7,8,6,1,5,1,,0.113
indigo_aryl_alkyl,AKJ-1-452.log,29,53,27,28,1,2,6,1,,0.255
indigo_aryl_alkyl,CYH-182-A.log,10,15,7,9,1,2,6,1,,0.037
indigo_aryl_alkyl,CYH-183-A.log,10,16,7,9,1,2,6,1,,0.041
indigo_aryl_alkyl,CYH-186-A.log,8,12,6,7,4,3,5,1,,0.03
indigo_aryl_alkyl,CYH-191-A.log,9,14,7,8,1,2,6,1,,0.034
indigo_aryl_alkyl,CYH-196-A.log,13,21,11,12,1,2,6,1,,0.089
indigo_aryl_alkyl,CYH-197-A.log,9,15,7,8,1,2,6,1,,0.05
indigo_aryl_alkyl,CYH-205-A.log,9,16,7,8,1,2,6,1,,0.041
indigo_aryl_alkyl,CYH-206-A.log,9,17,7,8,1,2,6,1,,0.056
indigo_aryl_alkyl,CYH-208-A.log,9,20,7,8,1,2,6,1,,0.123
indigo_aryl_alkyl,CYH-209-A.log,9,18,7,8,1,2,6,1,,0.055
indigo_aryl_alkyl,CYH-213-A.log,9,15,7,8,1,2,6,1,,0.039
indigo_aryl_alkyl,CYH-217-A.log,9,16,7,8,1,2,6,1,,0.044
indigo_aryl_alkyl,CYH-219-A.log,15,16,7,14,1,2,6,1,,0.045
indigo_aryl_alkyl,CYH-220-A.log,20,29,18,19,1,2,6,1,,0.078
indigo_aryl_alkyl,CYH-236-A.log,12,22,7,11,1,2,6,1,,0.2
indigo_aryl_alkyl,CYH-242-A.log,12,22,7,11,1,2,6,1,,0.141
indigo_aryl_alkyl,CYH-243-A.log,10,19,7,9,1,2,6,1,,0.056
indigo_aryl_alkyl,CYH-247-A.log,20,46,7,19,1,2,6,1,,0.109
indigo_aryl_alkyl,CYH-250-A.log,17,30,7,16,1,2,6,1,,0.089
indigo_aryl_alkyl,CYH-255-A.log,13,21,7,12,1,2,6,1,,0.061
indigo_diaryl,3-CF3.log,9,18,7,8,6,1,5,1,,0.04
indigo_diaryl,3-CHO.log,9,16,7,8,6,1,5,1,,0.04
indigo_diaryl,3-CN.log,9,16,7,8,6,1,5,1,,0.042
indigo_diaryl,3-NO2.log,9,17,7,8,6,1,5,1,,0.047
indigo_diaryl,3-OMe.log,9,16,7,8,6,1,5,1,,0.047
indigo_diaryl,4-CF3.log,9,18,7,8,6,1,5,1,,0.06
