category,logfile,a,b,c,d,e,f,g,ok,error,elapsed
heck_boronic_acids,H.log,9,15,7,8,6,1,5,1,,0.015
heck_boronic_acids,m-CN.log,9,16,7,8,6,1,5,1,,0.021
heck_boronic_acids,m-OMe.log,9,16,7,8,6,1,5,1,,0.024
heck_boronic_acids,m-SO2Me.log,9,18,7,8,6,1,5,1,,0.022
heck_boronic_acids,o-CF3.log,9,18,7,8,6,1,5,1,,0.019
heck_boronic_acids,o-Cl.log,9,15,7,8,6,1,5,1,,0.015
heck_boronic_acids,o-F.log,9,15,7,8,6,1,5,1,,0.013
heck_boronic_acids,o-Me.log,9,15,7,8,6,1,5,1,,0.013
heck_boronic_acids,o-OMe.log,9,16,7,8,6,1,5,1,,0.014
heck_boronic_acids,o-Ph.log,9,20,7,8,6,1,5,1,,0.015
heck_boronic_acids,o-iPr.log,9,17,7,8,6,1,5,1,,0.015
heck_boronic_acids,p-CO2Me.log,9,18,7,8,6,1,5,1,,0.021
heck_boronic_acids,p-COMe.log,9,17,7,8,6,1,5,1,,0.026
heck_boronic_acids,p-Cl.log,9,15,7,8,6,1,5,1,,0.013
heck_boronic_acids,p-F.log,9,15,7,8,6,1,5,1,,0.017
heck_boronic_acids,p-OMe.log,9,16,7,8,6,1,5,1,,0.013
heck_boronic_acids,p-tBu.log,9,18,7,8,6,1,5,1,,0.026
