category,logfile,a,b,c,d,e,f,g,ok,error,elapsed
indigo_aryl_alkyl,AKJ-1-452.log,29,53,27,28,1,2,6,1,,0.064
indigo_aryl_alkyl,CYH-182-A.log,10,15,7,9,1,2,6,1,,0.015
indigo_aryl_alkyl,CYH-183-A.log,10,16,7,9,1,2,6,1,,0.015
indigo_aryl_alkyl,CYH-186-A.log,8,12,6,7,4,3,5,1,,0.011
indigo_aryl_alkyl,CYH-191-A.log,9,14,7,8,1,2,6,1,,0.013
indigo_aryl_alkyl,CYH-196-A.log,13,21,11,12,1,2,6,1,,0.02
indigo_aryl_alkyl,CYH-197-A.log,9,15,7,8,1,2,6,1,,0.013
indigo_aryl_alkyl,CYH-205-A.log,9,16,7,8,1,2,6,1,,0.012
indigo_aryl_alkyl,CYH-206-A.log,9,17,7,8,1,2,6,1,,0.015
indigo_aryl_alkyl,CYH-208-A.log,9,20,7,8,1,2,6,1,,0.025
indigo_aryl_alkyl,CYH-209-A.log,9,18,7,8,1,2,6,1,,0.016
indigo_aryl_alkyl,CYH-213-A.log,9,15,7,8,1,2,6,1,,0.012
indigo_aryl_alkyl,CYH-217-A.log,9,16,7,8,1,2,6,1,,0.013
indigo_aryl_alkyl,CYH-219-A.log,15,16,7,14,1,2,6,1,,0.013
indigo_aryl_alkyl,CYH-220-A.log,20,29,18,19,1,2,6,1,,0.018
indigo_aryl_alkyl,CYH-236-A.log,12,22,7,11,1,2,6,1,,0.034
indigo_aryl_alkyl,CYH-242-A.log,12,22,7,11,1,2,6,1,,0.027
indigo_aryl_alkyl,CYH-243-A.log,10,19,7,9,1,2,6,1,,0.017
indigo_aryl_alkyl,CYH-247-A.log,20,46,7,19,1,2,6,1,,0.027
indigo_aryl_alkyl,CYH-250-A.log,17,30,7,16,1,2,6,1,,0.023
indigo_aryl_alkyl,CYH-255-A.log,13,21,7,12,1,2,6,1,,0.016
