Ar1,Ar2,dG,_join1,_join2,ar1_scf_energy_hartree,ar1_gibbs_free_energy_hartree,ar1_enthalpy_hartree,ar1_dipole_total_debye,ar1_isotropic_polarizability_au,ar1_homo_hartree,ar1_lumo_hartree,ar1_gap_hartree,ar1_ir_c_o_freq_cm1,ar1_ir_c_o_intensity_km_mol,ar1_q_a,ar1_nbo_q_a,ar1_q_b,ar1_nbo_q_b,ar1_q_c,ar1_nbo_q_c,ar1_q_d,ar1_nbo_q_d,ar1_q_e,ar1_nbo_q_e,ar1_q_f,ar1_nbo_q_f,ar1_q_g,ar1_nbo_q_g,ar1_q_mean,ar1_q_std,ar1_nbo_q_mean,ar1_nbo_q_std,ar1_nbo_bond_occ_c_a,ar1_nbo_bond_occ_c_d,ar1_nbo_bond_occ_c_e,ar1_nbo_bond_energy_c_a,ar1_nbo_bond_energy_c_d,ar1_nbo_bond_energy_c_e,ar1_bond_length_c_a,ar1_bond_length_c_d,ar1_bond_length_c_e,ar1_sterimol_L,ar1_sterimol_B1,ar1_sterimol_B5,ar1_Ar_NBO_C1,ar1_Ar_NBO_C2,ar1_Ar_NBO_OH,ar1_Ar_NBO_CO,ar1_Ar_v_CeqO,ar1_Ar_I_CeqO,ar1_Ar_Ster_L,ar1_Ar_Ster_B1,ar1_Ar_Ster_B5,ar1_Ar_dp,ar1_Ar_polar,ar1_Ar_HOMO,ar1_Ar_LUMO,ar2_scf_energy_hartree,ar2_gibbs_free_energy_hartree,ar2_enthalpy_hartree,ar2_dipole_total_debye,ar2_isotropic_polarizability_au,ar2_homo_hartree,ar2_lumo_hartree,ar2_gap_hartree,ar2_ir_c_o_freq_cm1,ar2_ir_c_o_intensity_km_mol,ar2_q_a,ar2_nbo_q_a,ar2_q_b,ar2_nbo_q_b,ar2_q_c,ar2_nbo_q_c,ar2_q_d,ar2_nbo_q_d,ar2_q_e,ar2_nbo_q_e,ar2_q_f,ar2_nbo_q_f,ar2_q_g,ar2_nbo_q_g,ar2_q_mean,ar2_q_std,ar2_nbo_q_mean,ar2_nbo_q_std,ar2_nbo_bond_occ_c_a,ar2_nbo_bond_occ_c_d,ar2_nbo_bond_occ_c_e,ar2_nbo_bond_energy_c_a,ar2_nbo_bond_energy_c_d,ar2_nbo_bond_energy_c_e,ar2_bond_length_c_a,ar2_bond_length_c_d,ar2_bond_length_c_e,ar2_sterimol_L,ar2_sterimol_B1,ar2_sterimol_B5,ar2_Ar_NBO_C1,ar2_Ar_NBO_C2,ar2_Ar_NBO_OH,ar2_Ar_NBO_CO,ar2_Ar_v_CeqO,ar2_Ar_I_CeqO,ar2_Ar_Ster_L,ar2_Ar_Ster_B1,ar2_Ar_Ster_B5,ar2_Ar_dp,ar2_Ar_polar,ar2_Ar_HOMO,ar2_Ar_LUMO
CN,CO2Me,0.8959553765379384,CN,CO2Me,-513.065174629,-512.984775,-512.940185,,159.393,-0.3428,18.59382,18.93662,1854.8712,393.1043,-0.530023,-0.69714,0.307212,0.50217,0.4652,0.80206,-0.899296,-0.59045,1.960321,-0.15333,-0.437325,-0.16382,-0.771889,-0.15159,0.013457142857142865,0.9280628421778696,-0.06458571428571429,0.5034506278207042,,,,,,,1.3437734614506271,1.199931249238889,1.489666345607633,6.831020387131888,2.2247786310271853e-16,2.2339215163938406,0.80206,-0.15333,-0.69714,-0.59045,1854.8712,393.1043,6.831020387131888,2.2247786310271853e-16,2.2339215163938406,,159.393,-0.3428,18.59382,-648.705340759,-648.583805,-648.532713,,175.29,-0.33184,20.33874,20.67058,1831.8881,392.877,-0.305127,-0.54939,0.268508,0.18322,0.436292,0.83538,-1.002382,-0.61015,1.764347,-0.17972,-0.192048,-0.15564,-0.954302,-0.11192,0.0021839999999999954,0.8799984662572673,-0.08403142857142856,0.4512145379632484,,,,,,,1.3375910486022997,1.2021163498734224,1.4924802782315083,7.228152276867555,2.23772604975987e-16,2.3508366336749664,0.83538,-0.17972,-0.54939,-0.61015,1831.8881,392.877,7.228152276867555,2.23772604975987e-16,2.3508366336749664,,175.29,-0.33184,20.33874
CO2Me,CO2Me,0.7034408747429421,CO2Me,CO2Me,-648.705340759,-648.583805,-648.532713,,175.29,-0.33184,20.33874,20.67058,1831.8881,392.877,-0.305127,-0.54939,0.268508,0.18322,0.436292,0.83538,-1.002382,-0.61015,1.764347,-0.17972,-0.192048,-0.15564,-0.954302,-0.11192,0.0021839999999999954,0.8799984662572673,-0.08403142857142856,0.4512145379632484,,,,,,,1.3375910486022997,1.2021163498734224,1.4924802782315083,7.228152276867555,2.23772604975987e-16,2.3508366336749664,0.83538,-0.17972,-0.54939,-0.61015,1831.8881,392.877,7.228152276867555,2.23772604975987e-16,2.3508366336749664,,175.29,-0.33184,20.33874,-648.705340759,-648.583805,-648.532713,,175.29,-0.33184,20.33874,20.67058,1831.8881,392.877,-0.305127,-0.54939,0.268508,0.18322,0.436292,0.83538,-1.002382,-0.61015,1.764347,-0.17972,-0.192048,-0.15564,-0.954302,-0.11192,0.0021839999999999954,0.8799984662572673,-0.08403142857142856,0.4512145379632484,,,,,,,1.3375910486022997,1.2021163498734224,1.4924802782315083,7.228152276867555,2.23772604975987e-16,2.3508366336749664,0.83538,-0.17972,-0.54939,-0.61015,1831.8881,392.877,7.228152276867555,2.23772604975987e-16,2.3508366336749664,,175.29,-0.33184,20.33874
NO2,H,0.6603868499647614,NO2,H,-625.329597807,-625.246561,-625.199664,,148.486,-0.35253,19.48441,19.836940000000002,1857.0969,370.6431,-0.544038,-0.69636,0.30462,0.50261,0.428131,0.80155,-0.917758,-0.58813,1.67062,-0.14811,-0.42866,-0.17053,-0.781445,-0.17098,-0.03836142857142856,0.8442597994845388,-0.06713571428571428,0.5035040282959056,,,,,,,1.3432988028104544,1.1995317362412719,1.4909627402356505,6.293561103883735,0.0,2.227167080180199,0.80155,-0.14811,-0.69636,-0.58813,1857.0969,370.6431,6.293561103883735,0.0,2.227167080180199,,148.486,-0.35253,19.48441,-420.81890611,-420.734365,-420.694303,,115.789,-0.32424,19.02137,19.34561,1848.0244,391.1199,-0.517215,-0.70145,0.304029,0.49829,0.33386,0.80505,-0.910853,-0.6028,1.772444,-0.18103,-1.003031,-0.15298,-0.562353,-0.1626,-0.0833027142857143,0.9036714872064506,-0.07107428571428571,0.5069588588226618,,,,,,,1.3473714167552318,1.201455266566342,1.4853725495477557,5.33374050902257,0.0,2.232698572840585,0.80505,-0.18103,-0.70145,-0.6028,1848.0244,391.1199,5.33374050902257,0.0,2.232698572840585,,115.789,-0.32424,19.02137
F,F,0.666183307334803,F,F,-520.071766294,-519.996612,-519.954544,,118.037,-0.32455,19.01739,19.341939999999997,1847.7463,399.2394,-0.519433,-0.70214,0.307823,0.49939,0.450865,0.8057,-0.918493,-0.60319,1.873492,-0.20011,-0.476087,-0.14092,-0.895887,-0.13135,-0.025388571428571427,0.9216605236187031,-0.06751714285714286,0.5071808562665445,,,,,,,1.347315632895648,1.201507520051373,1.4830296984875249,5.55808043980539,0.0,2.2255169856594583,0.8057,-0.20011,-0.70214,-0.60319,1847.7463,399.2394,5.55808043980539,0.0,2.2255169856594583,,118.037,-0.32455,19.01739,-520.071766294,-519.996612,-519.954544,,118.037,-0.32455,19.01739,19.341939999999997,1847.7463,399.2394,-0.519433,-0.70214,0.307823,0.49939,0.450865,0.8057,-0.918493,-0.60319,1.873492,-0.20011,-0.476087,-0.14092,-0.895887,-0.13135,-0.025388571428571427,0.9216605236187031,-0.06751714285714286,0.5071808562665445,,,,,,,1.347315632895648,1.201507520051373,1.4830296984875249,5.55808043980539,0.0,2.2255169856594583,0.8057,-0.20011,-0.70214,-0.60319,1847.7463,399.2394,5.55808043980539,0.0,2.2255169856594583,,118.037,-0.32455,19.01739
CO2Me,CF3,0.6243635840306999,CO2Me,CF3,-648.705340759,-648.583805,-648.532713,,175.29,-0.33184,20.33874,20.67058,1831.8881,392.877,-0.305127,-0.54939,0.268508,0.18322,0.436292,0.83538,-1.002382,-0.61015,1.764347,-0.17972,-0.192048,-0.15564,-0.954302,-0.11192,0.0021839999999999954,0.8799984662572673,-0.08403142857142856,0.4512145379632484,,,,,,,1.3375910486022997,1.2021163498734224,1.4924802782315083,7.228152276867555,2.23772604975987e-16,2.3508366336749664,0.83538,-0.17972,-0.54939,-0.61015,1831.8881,392.877,7.228152276867555,2.23772604975987e-16,2.3508366336749664,,175.29,-0.33184,20.33874,-757.906298683,-757.824115,-757.773108,,137.31,-0.34294,19.42674,19.769679999999997,1854.4193,375.6318,-0.53894,-0.69813,0.301681,0.50114,0.430047,0.804,-0.924593,-0.59322,1.92139,-0.15913,-0.584105,-0.16141,-0.889792,-0.15025,-0.04061600000000002,0.9437297401735308,-0.06528571428571427,0.5044045713188442,,,,,,,1.344759299230907,1.2001347989671827,1.4890452807691914,6.246053654359382,0.0,2.231902966619222,0.804,-0.15913,-0.69813,-0.59322,1854.4193,375.6318,6.246053654359382,0.0,2.231902966619222,,137.31,-0.34294,19.42674
F,CO2Me,0.6097406188546818,F,CO2Me,-520.071766294,-519.996612,-519.954544,,118.037,-0.32455,19.01739,19.341939999999997,1847.7463,399.2394,-0.519433,-0.70214,0.307823,0.49939,0.450865,0.8057,-0.918493,-0.60319,1.873492,-0.20011,-0.476087,-0.14092,-0.895887,-0.13135,-0.025388571428571427,0.9216605236187031,-0.06751714285714286,0.5071808562665445,,,,,,,1.347315632895648,1.201507520051373,1.4830296984875249,5.55808043980539,0.0,2.2255169856594583,0.8057,-0.20011,-0.70214,-0.60319,1847.7463,399.2394,5.55808043980539,0.0,2.2255169856594583,,118.037,-0.32455,19.01739,-648.705340759,-648.583805,-648.532713,,175.29,-0.33184,20.33874,20.67058,1831.8881,392.877,-0.305127,-0.54939,0.268508,0.18322,0.436292,0.83538,-1.002382,-0.61015,1.764347,-0.17972,-0.192048,-0.15564,-0.954302,-0.11192,0.0021839999999999954,0.8799984662572673,-0.08403142857142856,0.4512145379632484,,,,,,,1.3375910486022997,1.2021163498734224,1.4924802782315083,7.228152276867555,2.23772604975987e-16,2.3508366336749664,0.83538,-0.17972,-0.54939,-0.61015,1831.8881,392.877,7.228152276867555,2.23772604975987e-16,2.3508366336749664,,175.29,-0.33184,20.33874
OMe,OMe,0.5860062948580613,OMe,OMe,-535.347279032,-535.232782,-535.187039,,154.673,-0.29428,19.15568,19.44996,1838.6921,425.3788,-0.539642,-0.7043,0.294313,0.49718,0.376532,0.80596,-0.915095,-0.61237,1.809563,-0.22517,-0.331146,-0.12308,-1.031488,-0.12623,-0.04813757142857141,0.9093900368716318,-0.06971571428571428,0.5092792166205418,,,,,,,1.3492166612768313,1.20314608658633,1.4780443974214712,7.36861558334796,2.237726045912403e-16,2.2463412761427324,0.80596,-0.22517,-0.7043,-0.61237,1838.6921,425.3788,7.36861558334796,2.237726045912403e-16,2.2463412761427324,,154.673,-0.29428,19.15568,-535.347279032,-535.232782,-535.187039,,154.673,-0.29428,19.15568,19.44996,1838.6921,425.3788,-0.539642,-0.7043,0.294313,0.49718,0.376532,0.80596,-0.915095,-0.61237,1.809563,-0.22517,-0.331146,-0.12308,-1.031488,-0.12623,-0.04813757142857141,0.9093900368716318,-0.06971571428571428,0.5092792166205418,,,,,,,1.3492166612768313,1.20314608658633,1.4780443974214712,7.36861558334796,2.237726045912403e-16,2.2463412761427324,0.80596,-0.22517,-0.7043,-0.61237,1838.6921,425.3788,7.36861558334796,2.237726045912403e-16,2.2463412761427324,,154.673,-0.29428,19.15568
F,CF3,0.5658538777452478,F,CF3,-520.071766294,-519.996612,-519.954544,,118.037,-0.32455,19.01739,19.341939999999997,1847.7463,399.2394,-0.519433,-0.70214,0.307823,0.49939,0.450865,0.8057,-0.918493,-0.60319,1.873492,-0.20011,-0.476087,-0.14092,-0.895887,-0.13135,-0.025388571428571427,0.9216605236187031,-0.06751714285714286,0.5071808562665445,,,,,,,1.347315632895648,1.201507520051373,1.4830296984875249,5.55808043980539,0.0,2.2255169856594583,0.8057,-0.20011,-0.70214,-0.60319,1847.7463,399.2394,5.55808043980539,0.0,2.2255169856594583,,118.037,-0.32455,19.01739,-757.906298683,-757.824115,-757.773108,,137.31,-0.34294,19.42674,19.769679999999997,1854.4193,375.6318,-0.53894,-0.69813,0.301681,0.50114,0.430047,0.804,-0.924593,-0.59322,1.92139,-0.15913,-0.584105,-0.16141,-0.889792,-0.15025,-0.04061600000000002,0.9437297401735308,-0.06528571428571427,0.5044045713188442,,,,,,,1.344759299230907,1.2001347989671827,1.4890452807691914,6.246053654359382,0.0,2.231902966619222,0.804,-0.15913,-0.69813,-0.59322,1854.4193,375.6318,6.246053654359382,0.0,2.231902966619222,,137.31,-0.34294,19.42674
F,H,0.5378707193367547,F,H,-520.071766294,-519.996612,-519.954544,,118.037,-0.32455,19.01739,19.341939999999997,1847.7463,399.2394,-0.519433,-0.70214,0.307823,0.49939,0.450865,0.8057,-0.918493,-0.60319,1.873492,-0.20011,-0.476087,-0.14092,-0.895887,-0.13135,-0.025388571428571427,0.9216605236187031,-0.06751714285714286,0.5071808562665445,,,,,,,1.347315632895648,1.201507520051373,1.4830296984875249,5.55808043980539,0.0,2.2255169856594583,0.8057,-0.20011,-0.70214,-0.60319,1847.7463,399.2394,5.55808043980539,0.0,2.2255169856594583,,118.037,-0.32455,19.01739,-420.81890611,-420.734365,-420.694303,,115.789,-0.32424,19.02137,19.34561,1848.0244,391.1199,-0.517215,-0.70145,0.304029,0.49829,0.33386,0.80505,-0.910853,-0.6028,1.772444,-0.18103,-1.003031,-0.15298,-0.562353,-0.1626,-0.0833027142857143,0.9036714872064506,-0.07107428571428571,0.5069588588226618,,,,,,,1.3473714167552318,1.201455266566342,1.4853725495477557,5.33374050902257,0.0,2.232698572840585,0.80505,-0.18103,-0.70145,-0.6028,1848.0244,391.1199,5.33374050902257,0.0,2.232698572840585,,115.789,-0.32424,19.02137
OMe,H,0.5184525862609795,OMe,H,-535.347279032,-535.232782,-535.187039,,154.673,-0.29428,19.15568,19.44996,1838.6921,425.3788,-0.539642,-0.7043,0.294313,0.49718,0.376532,0.80596,-0.915095,-0.61237,1.809563,-0.22517,-0.331146,-0.12308,-1.031488,-0.12623,-0.04813757142857141,0.9093900368716318,-0.06971571428571428,0.5092792166205418,,,,,,,1.3492166612768313,1.20314608658633,1.4780443974214712,7.36861558334796,2.237726045912403e-16,2.2463412761427324,0.80596,-0.22517,-0.7043,-0.61237,1838.6921,425.3788,7.36861558334796,2.237726045912403e-16,2.2463412761427324,,154.673,-0.29428,19.15568,-420.81890611,-420.734365,-420.694303,,115.789,-0.32424,19.02137,19.34561,1848.0244,391.1199,-0.517215,-0.70145,0.304029,0.49829,0.33386,0.80505,-0.910853,-0.6028,1.772444,-0.18103,-1.003031,-0.15298,-0.562353,-0.1626,-0.0833027142857143,0.9036714872064506,-0.07107428571428571,0.5069588588226618,,,,,,,1.3473714167552318,1.201455266566342,1.4853725495477557,5.33374050902257,0.0,2.232698572840585,0.80505,-0.18103,-0.70145,-0.6028,1848.0244,391.1199,5.33374050902257,0.0,2.232698572840585,,115.789,-0.32424,19.02137
