category,target,k,features,R2,Q2,RMSE,CV,equation
Modeling,dG,5,ar1_q_mean|ar2_Ar_LUMO|ar2_nbo_q_std|ar2_nbo_q_b|ar2_bond_length_c_a,0.8294131115545362,0.6849900944333189,0.07327030021632196,LOOCV,dG = -223.10 + 2.76*ar1_q_mean + 0.26*ar2_Ar_LUMO - 130.92*ar2_nbo_q_std + 17.67*ar2_nbo_q_b + 205.16*ar2_bond_length_c_a
Modeling,dG,5,ar1_q_mean|ar2_Ar_LUMO|ar2_nbo_q_a|ar2_nbo_q_std|ar2_bond_length_c_a,0.8321629819518204,0.6630555736088217,0.07267734015527488,LOOCV,dG = -249.95 + 2.75*ar1_q_mean + 0.25*ar2_Ar_LUMO - 107.35*ar2_nbo_q_a - 331.88*ar2_nbo_q_std + 251.39*ar2_bond_length_c_a
Modeling,dG,5,ar1_q_mean|ar2_Ar_LUMO|ar2_Ar_NBO_OH|ar2_nbo_q_std|ar2_bond_length_c_a,0.8321629819518204,0.6630555736088217,0.07267734015527488,LOOCV,dG = -249.95 + 2.75*ar1_q_mean + 0.25*ar2_Ar_LUMO - 107.35*ar2_Ar_NBO_OH - 331.88*ar2_nbo_q_std + 251.39*ar2_bond_length_c_a
Modeling,dG,5,ar1_q_mean|ar2_q_a|ar2_nbo_q_b|ar2_q_d|ar2_q_b,0.8236032621255355,0.6244087677263463,0.07450757384674112,LOOCV,dG = 16.05 + 2.55*ar1_q_mean - 28.99*ar2_q_a - 35.15*ar2_nbo_q_b + 32.16*ar2_q_d + 53.97*ar2_q_b
Modeling,dG,4,ar1_q_mean|ar2_Ar_LUMO|ar2_nbo_q_mean|ar2_q_b,0.7704325923404319,0.5921355786621576,0.0849983044046537,LOOCV,dG = -6.03 + 3.10*ar1_q_mean + 0.13*ar2_Ar_LUMO - 16.92*ar2_nbo_q_mean + 9.84*ar2_q_b
Modeling,dG,4,ar1_q_mean|ar2_Ar_LUMO|ar2_nbo_q_std|ar2_q_d,0.7732334655110464,0.5904324803059577,0.08447819554512807,LOOCV,dG = 16.38 + 3.06*ar1_q_mean + 0.14*ar2_Ar_LUMO - 15.95*ar2_nbo_q_std + 11.32*ar2_q_d
Modeling,dG,5,ar1_q_mean|ar2_nbo_q_mean|ar2_q_a|ar2_nbo_q_b|ar2_q_b,0.8210147566409024,0.5899930257285142,0.07505225759437446,LOOCV,dG = -25.16 + 2.74*ar1_q_mean - 76.11*ar2_nbo_q_mean - 27.43*ar2_q_a - 21.87*ar2_nbo_q_b + 56.29*ar2_q_b
Modeling,dG,5,ar2_Ar_LUMO|ar2_nbo_q_std|ar2_nbo_q_b|ar1_q_c|ar2_bond_length_c_a,0.7998194764037949,0.5872616366305526,0.07937176861202971,LOOCV,dG = -260.94 + 0.31*ar2_Ar_LUMO - 154.53*ar2_nbo_q_std + 20.91*ar2_nbo_q_b + 1.46*ar1_q_c + 239.63*ar2_bond_length_c_a
Modeling,dG,5,ar1_q_mean|ar2_Ar_LUMO|ar2_nbo_q_a|ar2_Ar_NBO_OH|ar2_q_d,0.7765488440681609,0.5864023768892674,0.08385837646713619,LOOCV,dG = 11.74 + 3.15*ar1_q_mean + 0.14*ar2_Ar_LUMO + 2.77*ar2_nbo_q_a + 2.77*ar2_Ar_NBO_OH + 10.85*ar2_q_d
Modeling,dG,4,ar1_q_mean|ar2_Ar_LUMO|ar2_nbo_q_a|ar2_q_d,0.7765488440681609,0.586402376889267,0.0838583764671362,LOOCV,dG = 11.74 + 3.15*ar1_q_mean + 0.14*ar2_Ar_LUMO + 5.54*ar2_nbo_q_a + 10.85*ar2_q_d
Modeling,dG,4,ar1_q_mean|ar2_Ar_LUMO|ar2_Ar_NBO_OH|ar2_q_d,0.7765488440681609,0.586402376889267,0.0838583764671362,LOOCV,dG = 11.74 + 3.15*ar1_q_mean + 0.14*ar2_Ar_LUMO + 5.54*ar2_Ar_NBO_OH + 10.85*ar2_q_d
Modeling,dG,5,ar1_q_mean|ar2_Ar_LUMO|ar1_q_f|ar2_nbo_q_a|ar2_q_d,0.7946470804314214,0.5837130396011727,0.08039065886710352,LOOCV,dG = 12.37 + 4.37*ar1_q_mean + 0.14*ar2_Ar_LUMO - 0.16*ar1_q_f + 5.80*ar2_nbo_q_a + 11.37*ar2_q_d
Modeling,dG,5,ar1_q_mean|ar2_Ar_LUMO|ar1_q_f|ar2_Ar_NBO_OH|ar2_q_d,0.7946470804314214,0.5837130396011727,0.08039065886710352,LOOCV,dG = 12.37 + 4.37*ar1_q_mean + 0.14*ar2_Ar_LUMO - 0.16*ar1_q_f + 5.80*ar2_Ar_NBO_OH + 11.37*ar2_q_d
Modeling,dG,5,ar1_q_mean|ar2_Ar_LUMO|ar2_nbo_q_mean|ar2_nbo_q_b|ar2_q_d,0.8226821482071112,0.581580861707617,0.07470185352495565,LOOCV,dG = 87.37 + 2.61*ar1_q_mean + 0.21*ar2_Ar_LUMO + 162.37*ar2_nbo_q_mean - 26.96*ar2_nbo_q_b + 72.26*ar2_q_d
Modeling,dG,5,ar1_q_mean|ar2_Ar_LUMO|ar1_q_f|ar2_nbo_q_std|ar2_q_d,0.7902985655876744,0.5769279101025544,0.0812373686514558,LOOCV,dG = 17.13 + 4.24*ar1_q_mean + 0.14*ar2_Ar_LUMO - 0.15*ar1_q_f - 16.60*ar2_nbo_q_std + 11.80*ar2_q_d
Modeling,dG,4,ar1_q_mean|ar2_Ar_LUMO|ar2_q_a|ar2_q_d,0.7680558804964366,0.5658310433108904,0.08543716525787287,LOOCV,dG = 4.99 + 3.25*ar1_q_mean + 0.15*ar2_Ar_LUMO + 2.12*ar2_q_a + 6.71*ar2_q_d
Modeling,dG,4,ar1_q_mean|ar2_Ar_LUMO|ar2_nbo_q_b|ar2_q_d,0.7686825750006163,0.5649281495811295,0.08532166498520509,LOOCV,dG = 7.67 + 3.30*ar1_q_mean + 0.14*ar2_Ar_LUMO - 2.26*ar2_nbo_q_b + 9.46*ar2_q_d
