Compound,Ar1,Ar2,rate kobs (s-1),ln(kobs),_join1,_join2,ar1_scf_energy_hartree,ar1_gibbs_free_energy_hartree,ar1_enthalpy_hartree,ar1_dipole_total_debye,ar1_isotropic_polarizability_au,ar1_homo_hartree,ar1_lumo_hartree,ar1_gap_hartree,ar1_ir_c_o_freq_cm1,ar1_ir_c_o_intensity_km_mol,ar1_q_a,ar1_nbo_q_a,ar1_q_b,ar1_nbo_q_b,ar1_q_c,ar1_nbo_q_c,ar1_q_d,ar1_nbo_q_d,ar1_q_e,ar1_nbo_q_e,ar1_q_f,ar1_nbo_q_f,ar1_q_g,ar1_nbo_q_g,ar1_q_mean,ar1_q_std,ar1_nbo_q_mean,ar1_nbo_q_std,ar1_nbo_bond_occ_c_a,ar1_nbo_bond_occ_c_d,ar1_nbo_bond_occ_c_e,ar1_nbo_bond_energy_c_a,ar1_nbo_bond_energy_c_d,ar1_nbo_bond_energy_c_e,ar1_bond_length_c_a,ar1_bond_length_c_d,ar1_bond_length_c_e,ar1_sterimol_L,ar1_sterimol_B1,ar1_sterimol_B5,ar1_Ar_NBO_C1,ar1_Ar_NBO_C2,ar1_Ar_NBO_OH,ar1_Ar_NBO_CO,ar1_Ar_v_CeqO,ar1_Ar_I_CeqO,ar1_Ar_Ster_L,ar1_Ar_Ster_B1,ar1_Ar_Ster_B5,ar1_Ar_dp,ar1_Ar_polar,ar1_Ar_HOMO,ar1_Ar_LUMO,ar2_scf_energy_hartree,ar2_gibbs_free_energy_hartree,ar2_enthalpy_hartree,ar2_dipole_total_debye,ar2_isotropic_polarizability_au,ar2_homo_hartree,ar2_lumo_hartree,ar2_gap_hartree,ar2_ir_c_o_freq_cm1,ar2_ir_c_o_intensity_km_mol,ar2_q_a,ar2_nbo_q_a,ar2_q_b,ar2_nbo_q_b,ar2_q_c,ar2_nbo_q_c,ar2_q_d,ar2_nbo_q_d,ar2_q_e,ar2_nbo_q_e,ar2_q_f,ar2_nbo_q_f,ar2_q_g,ar2_nbo_q_g,ar2_q_mean,ar2_q_std,ar2_nbo_q_mean,ar2_nbo_q_std,ar2_nbo_bond_occ_c_a,ar2_nbo_bond_occ_c_d,ar2_nbo_bond_occ_c_e,ar2_nbo_bond_energy_c_a,ar2_nbo_bond_energy_c_d,ar2_nbo_bond_energy_c_e,ar2_bond_length_c_a,ar2_bond_length_c_d,ar2_bond_length_c_e,ar2_sterimol_L,ar2_sterimol_B1,ar2_sterimol_B5,ar2_Ar_NBO_C1,ar2_Ar_NBO_C2,ar2_Ar_NBO_OH,ar2_Ar_NBO_CO,ar2_Ar_v_CeqO,ar2_Ar_I_CeqO,ar2_Ar_Ster_L,ar2_Ar_Ster_B1,ar2_Ar_Ster_B5,ar2_Ar_dp,ar2_Ar_polar,ar2_Ar_HOMO,ar2_Ar_LUMO
A1,1,2,2.1e-07,-15.376158306228943,1,2,-420.818906317,-420.734362,-420.694299,,115.774,-0.32424,19.02267,19.34691,1847.7615,390.8977,-0.517274,-0.70144,0.304114,0.49831,0.333826,0.8051,-0.910813,-0.60285,1.772847,-0.18103,-0.562666,-0.16262,-1.003185,-0.15303,-0.0833072857142857,0.9038375933078296,-0.07107999999999999,0.5069817978699319,,,,,,,1.347350318872564,1.2015015970551184,1.4855092607085962,6.8336858391590045,1.700503776595012,3.332126134121967,0.8051,-0.18103,-0.70144,-0.60285,1847.7615,390.8977,6.8336858391590045,1.700503776595012,3.332126134121967,,115.774,-0.32424,19.02267,-486.15028583,-486.092401,-486.05012,,95.572,-0.37129,17.36593,17.737219999999997,1879.0253,357.694,-0.461353,-0.67085,0.307143,0.49861,0.735323,0.77399,-0.816094,-0.56532,0.529488,0.13815,-0.161633,-0.23121,-0.830355,-0.20096,-0.09964014285714286,0.590443880555838,-0.03679857142857144,0.4958035816855752,,,,,,,1.3363294382183608,1.1959657571222515,1.483885043629054,6.953382679861356,1.7,3.4042000989592363,0.77399,0.13815,-0.67085,-0.56532,1879.0253,357.694,6.953382679861356,1.7,3.4042000989592363,,95.572,-0.37129,17.36593
A2,1,3,3.8e-07,-14.78309458422598,1,3,-420.818906317,-420.734362,-420.694299,,115.774,-0.32424,19.02267,19.34691,1847.7615,390.8977,-0.517274,-0.70144,0.304114,0.49831,0.333826,0.8051,-0.910813,-0.60285,1.772847,-0.18103,-0.562666,-0.16262,-1.003185,-0.15303,-0.0833072857142857,0.9038375933078296,-0.07107999999999999,0.5069817978699319,,,,,,,1.347350318872564,1.2015015970551184,1.4855092607085962,6.8336858391590045,1.700503776595012,3.332126134121967,0.8051,-0.18103,-0.70144,-0.60285,1847.7615,390.8977,6.8336858391590045,1.700503776595012,3.332126134121967,,115.774,-0.32424,19.02267,-470.141385005,-470.071165,-470.028815,,100.923,-0.34299,19.41209,19.75508,1877.9995,400.7615,-0.507386,-0.6801,0.305645,0.49515,0.684316,0.77443,-0.854939,-0.56788,0.628297,0.17677,-0.49596,-0.4395,-1.018486,-0.23603,-0.17978757142857144,0.6548555651790394,-0.0681657142857143,0.517898382665313,,,,,,,1.3414716585623416,1.1962024024599685,1.4846834409334535,6.991466547266783,1.7675738969607153,3.46175516124814,0.77443,0.17677,-0.6801,-0.56788,1877.9995,400.7615,6.991466547266783,1.7675738969607153,3.46175516124814,,100.923,-0.34299,19.41209
A3,1,4,1.1e-07,-16.022785471153995,1,4,-420.818906317,-420.734362,-420.694299,,115.774,-0.32424,19.02267,19.34691,1847.7615,390.8977,-0.517274,-0.70144,0.304114,0.49831,0.333826,0.8051,-0.910813,-0.60285,1.772847,-0.18103,-0.562666,-0.16262,-1.003185,-0.15303,-0.0833072857142857,0.9038375933078296,-0.07107999999999999,0.5069817978699319,,,,,,,1.347350318872564,1.2015015970551184,1.4855092607085962,6.8336858391590045,1.700503776595012,3.332126134121967,0.8051,-0.18103,-0.70144,-0.60285,1847.7615,390.8977,6.8336858391590045,1.700503776595012,3.332126134121967,,115.774,-0.32424,19.02267,-454.089184502,-454.0065,-453.965877,,107.589,-0.32287,18.06534,18.38821,1874.0692,393.1664,-0.495291,-0.70273,0.287985,0.4957,0.679176,0.78879,-0.884034,-0.5787,0.778888,-0.0176,-0.150567,-0.29214,-0.976396,-0.21194,-0.10860557142857143,0.6623728538767394,-0.07408857142857142,0.5055098678259285,,,,,,,1.3512753579955492,1.1970606214532329,1.4749663560993518,6.910462550464074,1.7859632583466851,3.714683940293358,0.78879,-0.0176,-0.70273,-0.5787,1874.0692,393.1664,6.910462550464074,1.7859632583466851,3.714683940293358,,107.589,-0.32287,18.06534
A4,1,5,1.5e-06,-13.41004544985611,1,5,-420.818906317,-420.734362,-420.694299,,115.774,-0.32424,19.02267,19.34691,1847.7615,390.8977,-0.517274,-0.70144,0.304114,0.49831,0.333826,0.8051,-0.910813,-0.60285,1.772847,-0.18103,-0.562666,-0.16262,-1.003185,-0.15303,-0.0833072857142857,0.9038375933078296,-0.07107999999999999,0.5069817978699319,,,,,,,1.347350318872564,1.2015015970551184,1.4855092607085962,6.8336858391590045,1.700503776595012,3.332126134121967,0.8051,-0.18103,-0.70144,-0.60285,1847.7615,390.8977,6.8336858391590045,1.700503776595012,3.332126134121967,,115.774,-0.32424,19.02267,-493.399996838,-493.291263,-493.247098,,119.202,-0.30651,19.53712,19.84363,1868.5202,431.6424,-0.42485,-0.70749,0.266327,0.49595,0.698155,0.79108,-0.900805,-0.58256,0.564618,-0.0225,1.374706,-0.0894,-1.187537,-0.20713,0.05580199999999997,0.857517580142988,-0.04600714285714285,0.499753806409124,,,,,,,1.3535222917964818,1.1975390057221516,1.4737417106308013,6.874413425801604,1.9761639224179874,4.261868949431431,0.79108,-0.0225,-0.70749,-0.58256,1868.5202,431.6424,6.874413425801604,1.9761639224179874,4.261868949431431,,119.202,-0.30651,19.53712
A5,1,6,7.6e-09,-18.695117589654124,1,6,-420.818906317,-420.734362,-420.694299,,115.774,-0.32424,19.02267,19.34691,1847.7615,390.8977,-0.517274,-0.70144,0.304114,0.49831,0.333826,0.8051,-0.910813,-0.60285,1.772847,-0.18103,-0.562666,-0.16262,-1.003185,-0.15303,-0.0833072857142857,0.9038375933078296,-0.07107999999999999,0.5069817978699319,,,,,,,1.347350318872564,1.2015015970551184,1.4855092607085962,6.8336858391590045,1.700503776595012,3.332126134121967,0.8051,-0.18103,-0.70144,-0.60285,1847.7615,390.8977,6.8336858391590045,1.700503776595012,3.332126134121967,,115.774,-0.32424,19.02267,-454.094659198,-454.012573,-453.970149,,109.319,-0.32103,17.81512,18.13615,1841.6314,467.923,-0.518716,-0.6998,0.28194,0.49518,0.391064,0.80609,-0.912286,-0.61302,1.441844,-0.30091,-1.300609,0.03941,-0.17745,0.00838,-0.11345899999999999,0.8490018535313772,-0.03781000000000001,0.5130665382635222,,,,,,,1.3488970821497095,1.2035720287884728,1.458307866690021,6.83393928520405,1.8256716604481253,3.638781613034069,0.80609,-0.30091,-0.6998,-0.61302,1841.6314,467.923,6.83393928520405,1.8256716604481253,3.638781613034069,,109.319,-0.32103,17.81512
A6,1,7,7.7e-07,-14.076875322098681,1,7,-420.818906317,-420.734362,-420.694299,,115.774,-0.32424,19.02267,19.34691,1847.7615,390.8977,-0.517274,-0.70144,0.304114,0.49831,0.333826,0.8051,-0.910813,-0.60285,1.772847,-0.18103,-0.562666,-0.16262,-1.003185,-0.15303,-0.0833072857142857,0.9038375933078296,-0.07107999999999999,0.5069817978699319,,,,,,,1.347350318872564,1.2015015970551184,1.4855092607085962,6.8336858391590045,1.700503776595012,3.332126134121967,0.8051,-0.18103,-0.70144,-0.60285,1847.7615,390.8977,6.8336858391590045,1.700503776595012,3.332126134121967,,115.774,-0.32424,19.02267,-532.724572071,-532.590117,-532.541019,,129.968,-0.30611,19.08554,19.391650000000002,1818.3172,462.3003,-0.502048,-0.70255,0.283778,0.49458,0.20642,0.807,-0.957208,-0.63143,2.431355,-0.30777,0.598034,0.19915,-1.145035,0.25485,0.1307565714285714,1.1181614057304528,0.016261428571428576,0.5325973154920965,,,,,,,1.3516652155030846,1.2079783888302802,1.4513392750649312,7.037362966538236,1.9830745592249481,4.344020993707346,0.807,-0.30777,-0.70255,-0.63143,1818.3172,462.3003,7.037362966538236,1.9830745592249481,4.344020993707346,,129.968,-0.30611,19.08554
A7,1,8,7.4e-07,-14.116615650748196,1,8,-420.818906317,-420.734362,-420.694299,,115.774,-0.32424,19.02267,19.34691,1847.7615,390.8977,-0.517274,-0.70144,0.304114,0.49831,0.333826,0.8051,-0.910813,-0.60285,1.772847,-0.18103,-0.562666,-0.16262,-1.003185,-0.15303,-0.0833072857142857,0.9038375933078296,-0.07107999999999999,0.5069817978699319,,,,,,,1.347350318872564,1.2015015970551184,1.4855092607085962,6.8336858391590045,1.700503776595012,3.332126134121967,0.8051,-0.18103,-0.70144,-0.60285,1847.7615,390.8977,6.8336858391590045,1.700503776595012,3.332126134121967,,115.774,-0.32424,19.02267,-454.092454004,-454.009377,-453.967965,,97.997,-0.32186,18.14436,18.46622,1839.2975,401.2589,-0.523666,-0.68835,0.287094,0.49844,0.581864,0.7876,-0.891118,-0.6058,0.360707,-0.00724,0.62908,-0.14727,-0.304796,-0.27024,0.01988071428571429,0.5484121412995663,-0.06183714285714286,0.5039244924366656,,,,,,,1.3438140843602584,1.2038763528290601,1.4628981989687457,6.090393584770194,1.7791887547736012,4.243916906303781,0.7876,-0.00724,-0.68835,-0.6058,1839.2975,401.2589,6.090393584770194,1.7791887547736012,4.243916906303781,,97.997,-0.32186,18.14436
A8,1,9,1.6e-05,-11.042921835724492,1,9,-420.818906317,-420.734362,-420.694299,,115.774,-0.32424,19.02267,19.34691,1847.7615,390.8977,-0.517274,-0.70144,0.304114,0.49831,0.333826,0.8051,-0.910813,-0.60285,1.772847,-0.18103,-0.562666,-0.16262,-1.003185,-0.15303,-0.0833072857142857,0.9038375933078296,-0.07107999999999999,0.5069817978699319,,,,,,,1.347350318872564,1.2015015970551184,1.4855092607085962,6.8336858391590045,1.700503776595012,3.332126134121967,0.8051,-0.18103,-0.70144,-0.60285,1847.7615,390.8977,6.8336858391590045,1.700503776595012,3.332126134121967,,115.774,-0.32424,19.02267,-493.403782321,-493.294916,-493.249774,,106.294,-0.30763,19.6178,19.92543,1832.9499,459.5477,-0.464914,-0.69311,0.285214,0.49833,0.483229,0.78874,-0.929266,-0.61172,0.056155,-0.01727,0.4389,-0.14191,1.325061,-0.06737,0.17062557142857143,0.6700020540221943,-0.034901428571428576,0.4987835283231901,,,,,,,1.3467375986984247,1.2047543478879832,1.459892014084946,6.094006850838737,1.9807518615896704,4.262924413810796,0.78874,-0.01727,-0.69311,-0.61172,1832.9499,459.5477,6.094006850838737,1.9807518615896704,4.262924413810796,,106.294,-0.30763,19.6178
A9,1,10,2.2e-06,-13.027053197600004,1,10,-420.818906317,-420.734362,-420.694299,,115.774,-0.32424,19.02267,19.34691,1847.7615,390.8977,-0.517274,-0.70144,0.304114,0.49831,0.333826,0.8051,-0.910813,-0.60285,1.772847,-0.18103,-0.562666,-0.16262,-1.003185,-0.15303,-0.0833072857142857,0.9038375933078296,-0.07107999999999999,0.5069817978699319,,,,,,,1.347350318872564,1.2015015970551184,1.4855092607085962,6.8336858391590045,1.700503776595012,3.332126134121967,0.8051,-0.18103,-0.70144,-0.60285,1847.7615,390.8977,6.8336858391590045,1.700503776595012,3.332126134121967,,115.774,-0.32424,19.02267,-516.683695335,-516.536852,-516.48935,,141.792,-0.26252,20.92188,21.1844,1830.5994,610.6312,-0.472768,-0.71559,0.26824,0.49344,0.382727,0.80499,-0.956152,-0.62195,1.085834,-0.26253,0.102148,0.22483,-0.577229,-0.24213,-0.023885714285714305,0.6408519106325165,-0.04556285714285714,0.5283327459826345,,,,,,,1.3581181538058462,1.2052849815591336,1.453743563958238,7.147085942013383,1.9848570760921564,4.251715227309804,0.80499,-0.26253,-0.71559,-0.62195,1830.5994,610.6312,7.147085942013383,1.9848570760921564,4.251715227309804,,141.792,-0.26252,20.92188
A10,1,11,0.000759999999999999,-7.1821921246838984,1,11,-420.818906317,-420.734362,-420.694299,,115.774,-0.32424,19.02267,19.34691,1847.7615,390.8977,-0.517274,-0.70144,0.304114,0.49831,0.333826,0.8051,-0.910813,-0.60285,1.772847,-0.18103,-0.562666,-0.16262,-1.003185,-0.15303,-0.0833072857142857,0.9038375933078296,-0.07107999999999999,0.5069817978699319,,,,,,,1.347350318872564,1.2015015970551184,1.4855092607085962,6.8336858391590045,1.700503776595012,3.332126134121967,0.8051,-0.18103,-0.70144,-0.60285,1847.7615,390.8977,6.8336858391590045,1.700503776595012,3.332126134121967,,115.774,-0.32424,19.02267,-555.995219904,-555.822605,-555.771315,,152.392,-0.25658,20.53368,20.79026,1816.657,540.1194,-0.514221,-0.71875,0.266893,0.49386,0.069022,0.80782,-0.96015,-0.62865,1.752157,-0.2634,-0.071216,0.23397,0.707606,-0.04464,0.1785844285714286,0.8119546525794329,-0.01711285714285716,0.5254029118336377,,,,,,,1.3584581089949002,1.207447902075282,1.4547190482849257,7.115558749340705,2.0305405130469825,4.419601525619814,0.80782,-0.2634,-0.71875,-0.62865,1816.657,540.1194,7.115558749340705,2.0305405130469825,4.419601525619814,,152.392,-0.25658,20.53368
