feature,pearson_corr,abs_pearson_corr,n_valid
q_e,-0.4671048109942181,0.4671048109942181,17
enthalpy_hartree,-0.46709534687980436,0.46709534687980436,17
gibbs_free_energy_hartree,-0.4670931292622477,0.4670931292622477,17
scf_energy_hartree,-0.46706091369587227,0.46706091369587227,17
homo_hartree,-0.444116798487002,0.444116798487002,17
q_std,-0.4247596216715506,0.4247596216715506,17
q_a,0.4200366174089523,0.4200366174089523,17
q_g,0.3805103921216721,0.3805103921216721,17
q_mean,0.3586546183581555,0.3586546183581555,17
q_c,0.22624162572687923,0.22624162572687923,17
gap_hartree,0.18546175181357816,0.18546175181357816,17
q_d,-0.18269091706639504,0.18269091706639504,17
lumo_hartree,0.17399583032474158,0.17399583032474158,17
q_b,-0.17239727931039653,0.17239727931039653,17
q_f,0.09409657048296749,0.09409657048296749,17
