logfile,logkey,scf_energy_hartree,gibbs_free_energy_hartree,enthalpy_hartree,dipole_total_debye,homo_hartree,lumo_hartree,gap_hartree,q_a,q_b,q_c,q_d,q_e,q_f,q_g,q_mean,q_std,ddG
H.log,h,-420.818906103,-420.734365,-420.694303,,-0.32424,19.02138,19.34562,-0.517215,0.30403,0.333863,-0.910854,1.772445,-1.003034,-0.562349,-0.08330199999999999,0.976077646139896,0.88
m-CN.log,m-cn,-513.065323198,-512.984849,-512.940307,,-0.34098,20.41897,20.75995,-0.523627,0.299325,0.492457,-0.916858,1.506476,-0.668478,-0.758999,-0.08138628571428572,0.8843989808820666,2.31
m-OMe.log,m-ome,-535.345054307,-535.230768,-535.184898,,-0.29193,19.22555,19.51748,-0.541015,0.299423,0.485236,-0.939365,1.754092,-0.878697,-0.480033,-0.04290842857142857,0.9632153491249774,0.97
m-SO2Me.log,m-so2me,-1008.74047794,-1008.625085,-1008.572799,,-0.34945,19.63419,19.98364,-0.527748,0.299758,0.430255,-0.936362,1.566657,-0.679007,-0.840818,-0.09818071428571429,0.9115215642316082,2.23
o-CF3.log,o-cf3,-757.895840641,-757.809172,-757.763516,,-0.34083,19.73886,20.07969,-0.439643,0.281154,0.264812,-0.942857,1.60884,-0.989998,0.804427,0.08381928571428574,0.9484920955818441,2.47
o-Cl.log,o-cl,-880.420045482,-880.345862,-880.304869,,-0.31543,18.71218,19.02761,-0.426855,0.286296,0.327451,-0.907053,1.601726,-0.932235,0.356621,0.043707285714285705,0.8890570301374962,2.73
o-F.log,o-f,-520.065001555,-519.990314,-519.947729,,-0.32231,19.0093,19.33161,-0.481829,0.297132,0.430595,-0.902035,1.724789,-0.811495,0.300634,0.07968442857142856,0.9127687348866738,2.0
o-Me.log,o-me,-460.126192295,-460.015545,-459.971909,,-0.31149,20.26877,20.58026,-0.428538,0.278247,0.287521,-0.950102,1.510936,-1.032609,1.133377,0.11411885714285716,0.9822609054722391,2.01
o-OMe.log,o-ome,-535.334851331,-535.221675,-535.175031,,-0.31072,19.10998,19.4207,-0.400825,0.240293,0.211885,-0.844846,1.516637,-0.922458,0.952375,0.10758014285714286,0.9086786840987722,0.89
o-Ph.log,o-ph,-651.853457008,-651.694616,-651.642967,,-0.29349,20.02933,20.32282,-0.478872,0.238811,0.511085,-0.953252,0.754962,-0.654292,1.233236,0.09309685714285713,0.807724565221014,2.27
o-iPr.log,o-ipr,-538.739139877,-538.57476,-538.525268,,-0.30971,18.69338,19.00309,-0.403818,0.216876,0.424714,-0.90468,1.1279,-0.644901,1.193296,0.14419814285714283,0.8342053487490213,1.88
p-CO2Me.log,p-co2me,-648.70534068,-648.583812,-648.532711,,-0.33184,20.33869,20.67053,-0.526718,0.299632,0.328481,-0.911995,1.540207,-0.833682,-0.215473,-0.04564971428571428,0.8569276956211483,1.74
p-COMe.log,p-come,-573.460372384,-573.341836,-573.29651,,-0.332,19.0855,19.4175,-0.53502,0.306525,0.38571,-0.916406,1.517064,-0.682451,-0.245449,-0.024289571428571462,0.835874194391488,1.64
p-Cl.log,p-cl,-880.429757596,-880.35705,-880.313643,,-0.3191,19.29711,19.61621,-0.532169,0.307077,0.373515,-0.902658,1.787652,-0.767272,-0.486625,-0.03149714285714284,0.9439341824102336,1.36
p-F.log,p-f,-520.071766225,-519.99662,-519.954546,,-0.32452,19.01751,19.34203,-0.519284,0.307579,0.451453,-0.918576,1.873675,-0.89569,-0.475416,-0.025179857142857143,0.9955193930157645,1.18
p-OMe.log,p-ome,-535.347230326,-535.232818,-535.187031,,-0.29463,19.15617,19.4508,-0.537364,0.291389,0.403576,-0.930008,1.747342,-0.74392,-0.597814,-0.05239985714285712,0.9439490170216519,0.44
p-tBu.log,p-tbu,-578.054859209,-577.863685,-577.81171,,-0.31131,20.30855,20.61986,-0.550608,0.297149,0.17778,-0.946821,1.767369,-0.776772,-0.415885,-0.06396971428571428,0.930127752628228,0.71
