category,target,k,features,R2,Q2,RMSE,CV,equation
heck_boronic_acids,ddG,5,bond_length_c_e|q_e|enthalpy_hartree|gibbs_free_energy_hartree|homo_hartree,0.8312748438641054,0.6407224429846164,0.27441397501652165,LOOCV,ddG = -78.17 + 53.06*bond_length_c_e - 1.19*q_e - 47.60*enthalpy_hartree + 47.60*gibbs_free_energy_hartree - 13.06*homo_hartree
heck_boronic_acids,ddG,5,bond_length_c_e|q_e|enthalpy_hartree|gibbs_free_energy_hartree|Ar_HOMO,0.8312748438641054,0.6407224429846164,0.27441397501652165,LOOCV,ddG = -78.17 + 53.06*bond_length_c_e - 1.19*q_e - 47.60*enthalpy_hartree + 47.60*gibbs_free_energy_hartree - 13.06*Ar_HOMO
heck_boronic_acids,ddG,4,nbo_q_a|Ar_NBO_OH|q_e|nbo_q_b,0.8003646354798133,0.6113833151126957,0.29849361385301526,LOOCV,ddG = -55.12 + 21.01*nbo_q_a + 21.01*Ar_NBO_OH - 1.11*q_e + 175.93*nbo_q_b
heck_boronic_acids,ddG,3,nbo_q_a|q_e|nbo_q_b,0.8003646354798132,0.6113833151126953,0.2984936138530153,LOOCV,ddG = -55.12 + 42.02*nbo_q_a - 1.11*q_e + 175.93*nbo_q_b
heck_boronic_acids,ddG,3,Ar_NBO_OH|q_e|nbo_q_b,0.8003646354798132,0.6113833151126953,0.2984936138530153,LOOCV,ddG = -55.12 + 42.02*Ar_NBO_OH - 1.11*q_e + 175.93*nbo_q_b
heck_boronic_acids,ddG,5,bond_length_c_e|q_e|enthalpy_hartree|scf_energy_hartree|homo_hartree,0.834849236287871,0.6095713271961405,0.27149172606141025,LOOCV,ddG = -83.54 + 56.45*bond_length_c_e - 1.14*q_e - 4.98*enthalpy_hartree + 4.98*scf_energy_hartree - 10.01*homo_hartree
heck_boronic_acids,ddG,5,bond_length_c_e|q_e|enthalpy_hartree|scf_energy_hartree|Ar_HOMO,0.834849236287871,0.6095713271961405,0.27149172606141025,LOOCV,ddG = -83.54 + 56.45*bond_length_c_e - 1.14*q_e - 4.98*enthalpy_hartree + 4.98*scf_energy_hartree - 10.01*Ar_HOMO
heck_boronic_acids,ddG,4,nbo_q_a|q_e|Ar_Ster_B5|nbo_q_b,0.8077192861766497,0.6083517788977837,0.2929437038790623,LOOCV,ddG = -54.13 + 44.30*nbo_q_a - 1.40*q_e - 0.09*Ar_Ster_B5 + 178.83*nbo_q_b
heck_boronic_acids,ddG,4,nbo_q_a|q_e|sterimol_B5|nbo_q_b,0.8077192861766497,0.6083517788977837,0.2929437038790623,LOOCV,ddG = -54.13 + 44.30*nbo_q_a - 1.40*q_e - 0.09*sterimol_B5 + 178.83*nbo_q_b
heck_boronic_acids,ddG,4,Ar_NBO_OH|q_e|Ar_Ster_B5|nbo_q_b,0.8077192861766497,0.6083517788977837,0.2929437038790623,LOOCV,ddG = -54.13 + 44.30*Ar_NBO_OH - 1.40*q_e - 0.09*Ar_Ster_B5 + 178.83*nbo_q_b
heck_boronic_acids,ddG,4,Ar_NBO_OH|q_e|sterimol_B5|nbo_q_b,0.8077192861766497,0.6083517788977837,0.2929437038790623,LOOCV,ddG = -54.13 + 44.30*Ar_NBO_OH - 1.40*q_e - 0.09*sterimol_B5 + 178.83*nbo_q_b
heck_boronic_acids,ddG,5,nbo_q_a|Ar_NBO_OH|q_e|Ar_Ster_B5|nbo_q_b,0.8077192861766496,0.6083517788977837,0.2929437038790623,LOOCV,ddG = -54.13 + 22.15*nbo_q_a + 22.15*Ar_NBO_OH - 1.40*q_e - 0.09*Ar_Ster_B5 + 178.83*nbo_q_b
