logfile,logkey,scf_energy_hartree,gibbs_free_energy_hartree,enthalpy_hartree,dipole_total_debye,isotropic_polarizability_au,homo_hartree,lumo_hartree,gap_hartree,ir_c_o_freq_cm1,ir_c_o_intensity_km_mol,q_a,nbo_q_a,q_b,nbo_q_b,q_c,nbo_q_c,q_d,nbo_q_d,q_e,nbo_q_e,q_f,nbo_q_f,q_g,nbo_q_g,q_mean,q_std,nbo_q_mean,nbo_q_std,nbo_bond_occ_c_a,nbo_bond_occ_c_d,nbo_bond_occ_c_e,nbo_bond_energy_c_a,nbo_bond_energy_c_d,nbo_bond_energy_c_e,bond_length_c_a,bond_length_c_d,bond_length_c_e,sterimol_L,sterimol_B1,sterimol_B5,Ar_NBO_C1,Ar_NBO_C2,Ar_NBO_OH,Ar_NBO_CO,Ar_v_CeqO,Ar_I_CeqO,Ar_Ster_L,Ar_Ster_B1,Ar_Ster_B5,Ar_dp,Ar_polar,Ar_HOMO,Ar_LUMO
AKJ-1-452.log,AKJ-1-452,-1301.31222588,-1300.928643,-1300.845873,,364.229,-0.28272,22.0858,22.36852,1786.7794,531.6366,-0.570255,-0.70117,0.301806,0.49792,0.222157,0.80617,-0.972613,-0.60609,1.562356,-0.20591,-0.509199,-0.15486,-0.216602,-0.12017,-0.026049999999999972,0.7703444042690071,-0.06915857142857142,0.5076781703973091,,,,,,,1.3474983978487691,1.2021951494882188,1.4836863633979387,13.27634664368061,3.026211717774677,7.909205335186606,0.80617,-0.20591,-0.70117,-0.60609,1786.7794,531.6366,13.27634664368061,3.026211717774677,7.909205335186606,,364.229,-0.28272,22.0858
CYH-182-A.log,CYH-182-A,-520.071766294,-519.996612,-519.954544,,118.037,-0.32455,19.01739,19.341939999999997,1847.7463,399.2394,-0.519433,-0.70214,0.307823,0.49939,0.450865,0.8057,-0.918493,-0.60319,1.873492,-0.20011,-0.476087,-0.14092,-0.895887,-0.13135,-0.025388571428571427,0.9216605236187031,-0.06751714285714286,0.5071808562665445,,,,,,,1.347315632895648,1.201507520051373,1.4830296984875249,7.428080439805391,1.7005429904958127,3.3255161756662592,0.8057,-0.20011,-0.70214,-0.60319,1847.7463,399.2394,7.428080439805391,1.7005429904958127,3.3255161756662592,,118.037,-0.32455,19.01739
CYH-183-A.log,CYH-183-A,-535.347279032,-535.232782,-535.187039,,154.673,-0.29428,19.15568,19.44996,1838.6921,425.3788,-0.539642,-0.7043,0.294313,0.49718,0.376532,0.80596,-0.915095,-0.61237,1.809563,-0.22517,-0.331146,-0.12308,-1.031488,-0.12623,-0.04813757142857141,0.9093900368716318,-0.06971571428571428,0.5092792166205418,,,,,,,1.3492166612768313,1.20314608658633,1.4780443974214712,8.868615583347962,1.8116536644827157,3.3463412759157998,0.80596,-0.22517,-0.7043,-0.61237,1838.6921,425.3788,8.868615583347962,1.8116536644827157,3.3463412759157998,,154.673,-0.29428,19.15568
CYH-186-A.log,CYH-186-A,-741.591053897,-741.539943,-741.500442,,108.002,-0.31302,18.90225,19.21527,1842.0439,453.5742,-0.453878,-0.7002,0.281043,0.49921,0.318514,0.78622,-0.85516,-0.59648,1.428051,-0.3619,-0.975256,-0.18241,0.031071,0.50596,-0.03223071428571429,0.7654958989442658,-0.0070857142857142985,0.5520494324620149,,,,,,,1.347713970521935,1.2009927239171765,1.4668984760698336,6.306301099165066,1.7443391948923435,3.2390685990983252,0.78622,-0.3619,-0.7002,-0.59648,1842.0439,453.5742,6.306301099165066,1.7443391948923435,3.2390685990983252,,108.002,-0.31302,18.90225
CYH-191-A.log,CYH-191-A,-436.856737306,-436.783993,-436.744051,,104.327,-0.33555,19.23326,19.568810000000003,1859.5682,343.9081,-0.508805,-0.69597,0.29402,0.50109,0.409168,0.80159,-0.887528,-0.58778,1.664341,-0.14071,-0.632632,-0.20252,-0.358789,-0.21203,-0.0028892857142856893,0.8105888524360748,-0.07661857142857142,0.5054241249380442,,,,,,,1.343809170336324,1.1992942411660283,1.4912011702285508,6.216604059531326,1.7005168470214382,3.242180020272413,0.80159,-0.14071,-0.69597,-0.58778,1859.5682,343.9081,6.216604059531326,1.7005168470214382,3.242180020272413,,104.327,-0.33555,19.23326
CYH-196-A.log,CYH-196-A,-648.705340759,-648.583805,-648.532713,,175.29,-0.33184,20.33874,20.67058,1831.8881,392.877,-0.526691,-0.69867,0.299616,0.49978,0.328335,0.80272,-0.911983,-0.59646,1.540238,-0.15882,-0.83356,-0.16578,-0.215404,-0.18936,-0.04563557142857144,0.7933352774614376,-0.07237,0.5056743502351234,,,,,,,1.3454759608651508,1.200731794867197,1.4883303973667943,9.788379034214504,1.8581980361228192,3.5409644205724065,0.80272,-0.15882,-0.69867,-0.59646,1831.8881,392.877,9.788379034214504,1.8581980361228192,3.5409644205724065,,175.29,-0.33184,20.33874
CYH-197-A.log,CYH-197-A,-2994.46207297,-2994.39104,-2994.346262,,149.635,-0.31222,18.95636,19.26858,1850.699,396.7961,-0.51645,-0.69857,0.307788,0.50038,0.390502,0.80558,-0.921676,-0.59634,1.68726,-0.16005,-0.862915,-0.15774,-0.870174,-0.19678,-0.11223785714285714,0.8963356000558892,-0.07193142857142856,0.5065234569220313,,,,,,,1.345104096104833,1.2005216100553964,1.4879449672249305,6.842983830154585,1.7485713484381407,4.584271092357209,0.80558,-0.16005,-0.69857,-0.59634,1850.699,396.7961,6.842983830154585,1.7485713484381407,4.584271092357209,,149.635,-0.31222,18.95636
CYH-205-A.log,CYH-205-A,-513.065174629,-512.984775,-512.940185,,159.393,-0.3428,18.59382,18.93662,1854.8712,393.1043,-0.530023,-0.69714,0.307212,0.50217,0.4652,0.80206,-0.899296,-0.59045,1.960321,-0.15333,-0.437325,-0.16382,-0.771889,-0.15159,0.013457142857142865,0.9280628421778696,-0.06458571428571429,0.5034506278207042,,,,,,,1.3437734614506271,1.199931249238889,1.489666345607633,8.781020387131889,1.7005586776394739,3.3339206679071265,0.80206,-0.15333,-0.69714,-0.59045,1854.8712,393.1043,8.781020387131889,1.7005586776394739,3.3339206679071265,,159.393,-0.3428,18.59382
CYH-206-A.log,CYH-206-A,-625.329597807,-625.246561,-625.199664,,148.486,-0.35253,19.48441,19.836940000000002,1857.0969,370.6431,-0.544038,-0.69636,0.30462,0.50261,0.428131,0.80155,-0.917758,-0.58813,1.67062,-0.14811,-0.42866,-0.17053,-0.781445,-0.17098,-0.03836142857142856,0.8442597994845388,-0.06713571428571428,0.5035040282959056,,,,,,,1.3432988028104544,1.1995317362412719,1.4909627402356505,8.213561103883734,1.7004299180517768,3.3271670774737387,0.80155,-0.14811,-0.69636,-0.58813,1857.0969,370.6431,8.213561103883734,1.7004299180517768,3.3271670774737387,,148.486,-0.35253,19.48441
CYH-208-A.log,CYH-208-A,-651.86186354,-651.702527,-651.651059,,251.252,-0.29315,19.88508,20.17823,1844.5811,465.2161,-0.536712,-0.70715,0.29655,0.49806,0.347203,0.80734,-0.921941,-0.60974,1.960133,-0.07418,-0.385692,-0.20055,-0.715987,-0.19132,0.0062219999999999975,0.914156355168758,-0.06822,0.5101056148065249,,,,,,,1.3477525644813293,1.2018803558844782,1.4833814459895336,11.128490875873998,2.0624666892676466,3.432460844688123,0.80734,-0.07418,-0.70715,-0.60974,1844.5811,465.2161,11.128490875873998,2.0624666892676466,3.432460844688123,,251.252,-0.29315,19.88508
