Entry,Ar1,Compound,Unnamed: 3,kobs_MeCN,ln(kobs)_MeCN,kobs_toluene,ln(kobs)_toluene,L_C1-C2,Occupancy_C1-O,Energy_C1-O,Occupancy_C1-C2,Energy_C1-C2,LUMO,HOMO,dipole moment,polarizability,Ster_L,Ster_B1,Ster_B5,Ar_NBO_C1_x,Ar_NBO_C2_x,Ar_NBO_=O,Ar_NBO_-O,Ar_I_C=O,Ar_v_C=O,_join_key,scf_energy_hartree,gibbs_free_energy_hartree,enthalpy_hartree,dipole_total_debye,isotropic_polarizability_au,homo_hartree,lumo_hartree,gap_hartree,ir_c_o_freq_cm1,ir_c_o_intensity_km_mol,q_a,nbo_q_a,q_b,nbo_q_b,q_c,nbo_q_c,q_d,nbo_q_d,q_e,nbo_q_e,q_f,nbo_q_f,q_g,nbo_q_g,q_mean,q_std,nbo_q_mean,nbo_q_std,nbo_bond_occ_c_a,nbo_bond_occ_c_d,nbo_bond_occ_c_e,nbo_bond_energy_c_a,nbo_bond_energy_c_d,nbo_bond_energy_c_e,bond_length_c_a,bond_length_c_d,bond_length_c_e,sterimol_L,sterimol_B1,sterimol_B5,Ar_NBO_C1_y,Ar_NBO_C2_y,Ar_NBO_OH,Ar_NBO_CO,Ar_v_CeqO,Ar_I_CeqO,Ar_Ster_L,Ar_Ster_B1,Ar_Ster_B5,Ar_dp,Ar_polar,Ar_HOMO,Ar_LUMO
1,CYH-191-A,PGOH-33,4-pyridine,0.0816,-2.505926017012076,0.0315,-3.4577677331505496,1.4912,1.99461,-1.06189,1.97806,-0.76748,-0.0459,-0.33555,1.784807,81.547333,5.74,1.7,3.22,0.802,-0.141,-0.588,-0.696,343.9081,1859.57,PGOH-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,CYH-196-A,PGOH-09,4-CO2Me,0.1754,-1.7406861990440543,0.0704,-2.65356201581814,1.48833,1.99453,-1.07192,1.97746,-0.67423,-0.05216,-0.33184,0.782481,121.686333,9.37,1.89,3.35,0.803,-0.159,-0.596,-0.699,298.944,1851.44,PGOH-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,CYH-206-A,PGOH-13,4-NO2,0.0862,-2.4510851013124895,0.0465,-3.0683029663888264,1.49096,1.99317,-1.06423,1.96218,-0.80636,-0.08041,-0.35253,3.631527,105.616333,7.72,1.7,3.23,0.802,-0.148,-0.588,-0.696,370.6431,1857.1,PGOH-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CYH-209-A,PGOH-14,4-CF3,0.1748,-1.744112815760702,0.0689,-2.675099100962524,1.48905,1.9944,-1.05203,1.97625,-0.76006,-0.04828,-0.34294,2.001726,101.253,7.75,2.17,3.22,0.804,-0.159,-0.593,-0.698,375.6318,1854.42,PGOH-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CYH-208-A,PGOH-16,4-Ph,0.2628,-1.3363619923716816,0.0907,-2.400197921861046,1.48338,1.99309,-1.01496,1.96301,-0.72683,-0.03774,-0.29315,2.424742,164.862,10.61,1.7,3.24,0.807,-0.074,-0.61,-0.707,465.2161,1844.58,PGOH-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,CYH-217-A,PGOH-19,4-CHO,0.1512,-1.8891518152367044,0.0843,-2.4733734139743273,1.4895,1.99453,-1.06054,1.97727,-0.76546,-0.06545,-0.33797,1.379376,105.074667,7.8,1.7,3.24,0.802,-0.152,-0.594,-0.697,212.6175,1851.91,PGOH-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,CYH-219-A,PGOH-21,benzofuran,0.5356,-0.6243676651651197,0.1708,-1.7672619976276676,1.48284,1.99447,-1.04181,1.97641,-0.74675,-0.02018,-0.29271,2.835363,114.194,7.73,1.7,4.26,0.807,-0.192,-0.607,-0.704,443.2582,1843.97,PGOH-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,CYH-220-A,PGOH-20,3-phth,0.1825,-1.701005105959591,0.0711,-2.643667942172942,1.48677,1.99448,-1.03917,1.97645,-0.74249,-0.06295,-0.30681,4.854161,195.570667,9.03,1.7,8.74,0.807,-0.169,-0.601,-0.697,440.9969,1848.3,PGOH-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,CYH-242-A,PGOH-25,4-alkene,0.4249,-0.8559014318613711,0.1447,-1.9330926453446988,1.48546,1.99298,-1.05063,1.9755,-0.75735,-0.06356,-0.30663,0.421494,159.631,11.48,1.98,3.31,0.822,-0.2,-0.606,-0.705,380.0807,1846.89,PGOH-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,CYH-243-A,PGOH-24,4-OCF3,0.2442,-1.4097677173055327,0.1104,-2.2036451451391423,1.4832,1.99457,-1.04676,1.97656,-0.75202,-0.0335,-0.32519,1.187799,107.261667,9.17,2.01,3.62,0.805,-0.204,-0.601,-0.701,403.831,1848.72,PGOH-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
