category,target,k,features,R2,Q2,RMSE,CV,equation
N-aryl-N′-alkylindigo,ln(kobs)_MeCN,5,Ar_v_C=O|Ar_NBO_-O|LUMO|L_C1-C2|Ar_NBO_C2_x,0.9320797314560794,0.8413946722659946,0.14056040058827426,LOOCV,ln(kobs)_MeCN = -131.17 - 0.09*Ar_v_C=O - 99.30*Ar_NBO_-O + 10.27*LUMO + 152.37*L_C1-C2 - 8.64*Ar_NBO_C2_x
N-aryl-N′-alkylindigo,ln(kobs)_MeCN,5,Ar_v_C=O|LUMO|Ar_NBO_C1_x|L_C1-C2|Ar_NBO_C2_x,0.9191330093360651,0.8005773081025945,0.15337300614950855,LOOCV,ln(kobs)_MeCN = 12.74 - 0.09*Ar_v_C=O + 14.29*LUMO + 32.98*Ar_NBO_C1_x + 88.12*L_C1-C2 - 4.85*Ar_NBO_C2_x
N-aryl-N′-alkylindigo,ln(kobs)_MeCN,5,Ar_NBO_=O|LUMO|L_C1-C2|Ar_NBO_C2_x|dipole moment,0.8983075354592036,0.7705869296530946,0.17199177373966146,LOOCV,ln(kobs)_MeCN = -192.34 - 81.20*Ar_NBO_=O + 7.90*LUMO + 95.09*L_C1-C2 - 7.80*Ar_NBO_C2_x - 0.05*dipole moment
N-aryl-N′-alkylindigo,ln(kobs)_MeCN,4,Ar_NBO_=O|LUMO|L_C1-C2|Ar_NBO_C2_x,0.8867096811697965,0.7452393136539683,0.1815347153372978,LOOCV,ln(kobs)_MeCN = -196.21 - 80.01*Ar_NBO_=O + 9.11*LUMO + 98.11*L_C1-C2 - 8.01*Ar_NBO_C2_x
N-aryl-N′-alkylindigo,ln(kobs)_MeCN,5,Ar_NBO_=O|Ar_NBO_-O|LUMO|L_C1-C2|Ar_NBO_C2_x,0.9057188408013085,0.7423178932367727,0.16560587734635165,LOOCV,ln(kobs)_MeCN = -253.43 - 60.31*Ar_NBO_=O - 62.74*Ar_NBO_-O + 9.09*LUMO + 114.84*L_C1-C2 - 9.42*Ar_NBO_C2_x
N-aryl-N′-alkylindigo,ln(kobs)_MeCN,4,Ar_v_C=O|Ar_I_C=O|L_C1-C2|dipole moment,0.8257730427536837,0.737406159463244,0.2251235688964094,LOOCV,ln(kobs)_MeCN = 102.29 - 0.12*Ar_v_C=O + 0.00*Ar_I_C=O + 85.06*L_C1-C2 - 0.19*dipole moment
N-aryl-N′-alkylindigo,ln(kobs)_MeCN,4,HOMO|LUMO|Ar_NBO_C1_x|dipole moment,0.8089959680603698,0.7366118229735826,0.23571355424617313,LOOCV,ln(kobs)_MeCN = -29.95 + 11.16*HOMO + 12.45*LUMO + 40.57*Ar_NBO_C1_x - 0.05*dipole moment
N-aryl-N′-alkylindigo,ln(kobs)_MeCN,3,HOMO|LUMO|Ar_NBO_C1_x,0.8011005527029089,0.7331400340058183,0.24053599589752914,LOOCV,ln(kobs)_MeCN = -32.44 + 10.05*HOMO + 13.74*LUMO + 43.17*Ar_NBO_C1_x
N-aryl-N′-alkylindigo,ln(kobs)_MeCN,5,Ar_v_C=O|Ar_NBO_C1_x|Ar_I_C=O|L_C1-C2|dipole moment,0.8320299471399875,0.7322025922532673,0.22104424813289317,LOOCV,ln(kobs)_MeCN = 94.58 - 0.11*Ar_v_C=O + 11.38*Ar_NBO_C1_x + 0.00*Ar_I_C=O + 69.00*L_C1-C2 - 0.17*dipole moment
N-aryl-N′-alkylindigo,ln(kobs)_MeCN,5,Ar_NBO_=O|LUMO|Ar_I_C=O|L_C1-C2|Ar_NBO_C2_x,0.8880691527281452,0.7273999202333571,0.1804422295545879,LOOCV,ln(kobs)_MeCN = -197.76 - 79.28*Ar_NBO_=O + 8.84*LUMO + 0.00*Ar_I_C=O + 99.33*L_C1-C2 - 8.00*Ar_NBO_C2_x
