feature,pearson_corr,abs_pearson_corr,n_valid
Ar1_LUMO,0.9159615010154734,0.9159615010154734,13
Ar2_LUMO,0.9018815590012572,0.9018815590012572,13
prod_homo_hartree,-0.894082681935334,0.894082681935334,13
sum_homo_hartree,0.8853076313906075,0.8853076313906075,13
Ar1_v_C=O,-0.8762923203236657,0.8762923203236657,13
Ar2_v_C=O,-0.8616254034779698,0.8616254034779698,13
Ar2_NBO_=O,-0.8581878186206956,0.8581878186206956,13
Ar2_HOMO,0.848701499619928,0.848701499619928,13
ar2_homo_hartree,0.848701499619928,0.848701499619928,13
Ar1_NBO_=O,-0.8297611451328726,0.8297611451328726,13
ar1_homo_hartree,0.8232215037813579,0.8232215037813579,13
Ar1_HOMO,0.8232215037813579,0.8232215037813579,13
Ar1_NBO_-O,-0.8224959827628544,0.8224959827628544,13
Ar2_NBO_-O,-0.8141894185259055,0.8141894185259055,13
Ar2_NBO_C2,-0.6761301726240696,0.6761301726240696,13
Ar1_NBO_C2,-0.643533808044472,0.643533808044472,13
Entry,-0.583885346068788,0.583885346068788,13
Ar2_I_C=O,0.5271143635083337,0.5271143635083337,13
ar2_enthalpy_hartree,0.5152318878477904,0.5152318878477904,13
ar2_gibbs_free_energy_hartree,0.5152311571802763,0.5152311571802763,13
ar2_scf_energy_hartree,0.515159484249886,0.515159484249886,13
Ar1_I_C=O,0.4787023872739667,0.4787023872739667,13
sum_enthalpy_hartree,0.4360535755101713,0.4360535755101713,13
sum_gibbs_free_energy_hartree,0.43605322840377564,0.43605322840377564,13
sum_scf_energy_hartree,0.43598499343204844,0.43598499343204844,13
prod_enthalpy_hartree,-0.43090200381577237,0.43090200381577237,13
prod_gibbs_free_energy_hartree,-0.43090189647568683,0.43090189647568683,13
prod_scf_energy_hartree,-0.43084085347515777,0.43084085347515777,13
prod_q_d,0.4125023492275157,0.4125023492275157,13
sum_q_d,-0.4110655101267658,0.4110655101267658,13
ar1_q_d,-0.409435816749006,0.409435816749006,13
ar2_q_d,-0.4068052155617971,0.4068052155617971,13
ar2_gap_hartree,-0.4054264054296712,0.4054264054296712,13
prod_gap_hartree,-0.3897817354446546,0.3897817354446546,13
sum_gap_hartree,-0.3877945768624004,0.3877945768624004,13
ar2_lumo_hartree,-0.36772000555076684,0.36772000555076684,13
ar1_q_f,-0.3665537508713459,0.3665537508713459,13
ar1_gap_hartree,-0.3592477211677858,0.3592477211677858,13
prod_q_f,0.3551781187590534,0.3551781187590534,13
prod_lumo_hartree,-0.3535242096951478,0.3535242096951478,13
sum_lumo_hartree,-0.3508071620453436,0.3508071620453436,13
Ar1_Ster_B5,-0.34792923318933017,0.34792923318933017,13
Ar2_Ster_B5,-0.3476987275848234,0.3476987275848234,13
ar1_q_std,0.3430402974586725,0.3430402974586725,13
sum_q_f,-0.3425309425718773,0.3425309425718773,13
sum_q_b,-0.3364822207948376,0.3364822207948376,13
sum_q_std,0.3350360242824123,0.3350360242824123,13
prod_q_b,-0.33273266980473915,0.33273266980473915,13
Ar1_polar,-0.33099320279574046,0.33099320279574046,13
prod_q_std,0.328244422806165,0.328244422806165,13
ar1_q_b,-0.32765986769555916,0.32765986769555916,13
ar1_lumo_hartree,-0.32526127202442884,0.32526127202442884,13
ar2_q_std,0.3140642784983347,0.3140642784983347,13
ar2_q_b,-0.3111063918586584,0.3111063918586584,13
ar1_enthalpy_hartree,0.3071963481389964,0.3071963481389964,13
ar1_gibbs_free_energy_hartree,0.30719604754935936,0.30719604754935936,13
ar1_scf_energy_hartree,0.3071437853971913,0.3071437853971913,13
ar2_q_f,-0.3023344394386434,0.3023344394386434,13
ar1_q_e,0.28932002740268237,0.28932002740268237,13
ar2_q_a,0.2880009712090244,0.2880009712090244,13
sum_q_a,0.2818501070434929,0.2818501070434929,13
prod_q_a,-0.2811841993167007,0.2811841993167007,13
sum_q_e,0.2793022021943385,0.2793022021943385,13
Ar2_polar,-0.2778416197369274,0.2778416197369274,13
prod_q_e,0.2635433655057195,0.2635433655057195,13
ar2_q_e,0.2630922506158999,0.2630922506158999,13
ar1_q_a,0.2517278484443994,0.2517278484443994,13
ar2_q_c,-0.2192688825440031,0.2192688825440031,13
sum_q_c,-0.21662837826730708,0.21662837826730708,13
ar1_q_c,-0.2112491208618279,0.2112491208618279,13
prod_q_c,-0.207123226788955,0.207123226788955,13
absdiff_q_b,0.17203547336510447,0.17203547336510447,13
prod_q_mean,-0.1712264865849121,0.1712264865849121,13
absdiff_q_c,0.1706536483602635,0.1706536483602635,13
absdiff_homo_hartree,0.16871838597997973,0.16871838597997973,13
diff_homo_hartree,-0.16871838597997973,0.16871838597997973,13
absdiff_q_std,0.16638488025293435,0.16638488025293435,13
diff_q_std,0.16638488025293435,0.16638488025293435,13
diff_enthalpy_hartree,-0.16484963450658188,0.16484963450658188,13
absdiff_enthalpy_hartree,0.16484963450658188,0.16484963450658188,13
absdiff_gibbs_free_energy_hartree,0.1648492563948044,0.1648492563948044,13
diff_gibbs_free_energy_hartree,-0.1648492563948044,0.1648492563948044,13
absdiff_scf_energy_hartree,0.1648445879846104,0.1648445879846104,13
diff_scf_energy_hartree,-0.1648445879846104,0.1648445879846104,13
diff_q_e,0.16445003180075787,0.16445003180075787,13
absdiff_q_e,0.16445003180075787,0.16445003180075787,13
absdiff_q_d,0.16375970539177365,0.16375970539177365,13
absdiff_q_mean,0.1582161431032186,0.1582161431032186,13
absdiff_gap_hartree,0.15768331845245115,0.15768331845245115,13
diff_gap_hartree,0.15768331845245115,0.15768331845245115,13
absdiff_lumo_hartree,0.15318226120399642,0.15318226120399642,13
diff_lumo_hartree,0.15318226120399642,0.15318226120399642,13
absdiff_q_f,0.14802087606124845,0.14802087606124845,13
Ar2_Ster_L,0.14440057275450863,0.14440057275450863,13
Ar1_dp,-0.14371106954596055,0.14371106954596055,13
diff_q_f,-0.14116159897993802,0.14116159897993802,13
Ar1_Ster_L,0.13789432637763316,0.13789432637763316,13
Ar1_Ster_B1,0.12923859645684865,0.12923859645684865,13
absdiff_q_g,0.09886915324260477,0.09886915324260477,13
diff_q_a,-0.09233388233015778,0.09233388233015778,13
absdiff_q_a,0.09233388233015778,0.09233388233015778,13
diff_q_b,0.08130578673117031,0.08130578673117031,13
Ar2_dp,-0.07120554020556318,0.07120554020556318,13
diff_q_g,-0.06187538114580408,0.06187538114580408,13
diff_q_c,0.06091491525074847,0.06091491525074847,13
prod_q_g,-0.040873432236333745,0.040873432236333745,13
diff_q_d,0.03528579990483765,0.03528579990483765,13
diff_q_mean,0.02205063079870262,0.02205063079870262,13
ar1_q_mean,0.018527495621065544,0.018527495621065544,13
ar1_q_g,-0.01704450106349516,0.01704450106349516,13
sum_q_mean,0.01641063647412318,0.01641063647412318,13
ar2_q_mean,0.014205370146970368,0.014205370146970368,13
Ar2_Ster_B1,0.01108242762471355,0.01108242762471355,13
sum_q_g,-0.0069720395805084505,0.0069720395805084505,13
ar2_q_g,0.0029323714421299533,0.0029323714421299533,13
