logfile,logkey,scf_energy_hartree,gibbs_free_energy_hartree,enthalpy_hartree,dipole_total_debye,isotropic_polarizability_au,homo_hartree,lumo_hartree,gap_hartree,ir_c_o_freq_cm1,ir_c_o_intensity_km_mol,q_a,nbo_q_a,q_b,nbo_q_b,q_c,nbo_q_c,q_d,nbo_q_d,q_e,nbo_q_e,q_f,nbo_q_f,q_g,nbo_q_g,q_mean,q_std,nbo_q_mean,nbo_q_std,nbo_bond_occ_c_a,nbo_bond_occ_c_d,nbo_bond_occ_c_e,nbo_bond_energy_c_a,nbo_bond_energy_c_d,nbo_bond_energy_c_e,bond_length_c_a,bond_length_c_d,bond_length_c_e,sterimol_L,sterimol_B1,sterimol_B5,Ar_NBO_C1,Ar_NBO_C2,Ar_NBO_OH,Ar_NBO_CO,Ar_v_CeqO,Ar_I_CeqO,Ar_Ster_L,Ar_Ster_B1,Ar_Ster_B5,Ar_dp,Ar_polar,Ar_HOMO,Ar_LUMO
3-CF3.log,3-CF3,-757.906504972,-757.824035,-757.773325,,128.808,-0.34485,19.18455,19.529400000000003,1853.5519,388.5588,-0.545697,-0.69735,0.300384,0.5013,0.451404,0.80503,-0.922599,-0.59469,1.507205,-0.16952,-0.768128,-0.13878,-0.689463,-0.13933,-0.09527057142857144,0.8208429153357032,-0.0619057142857143,0.5042550028041975,,,,,,,1.3442702314270742,1.200197991031896,1.4881222132301501,7.560853538165855,1.9378898258763053,4.805570187510963,0.80503,-0.16952,-0.69735,-0.59469,1853.5519,388.5588,7.560853538165855,1.9378898258763053,4.805570187510963,,128.808,-0.34485,19.18455
3-CHO.log,3-CHO,-534.145786347,-534.054916,-534.009808,,135.999,-0.33791,19.15839,19.4963,1851.5616,357.6061,-0.527848,-0.69418,0.295569,0.50031,0.464937,0.805,-0.9263,-0.598,1.460197,-0.17557,-0.712374,-0.12849,-0.615591,-0.11443,-0.08020142857142856,0.7940637828632546,-0.05790857142857142,0.5035275393072521,,,,,,,1.3433333154381306,1.2008491469601836,1.4885223831706393,7.01020951292994,1.7009295539305773,4.984687591456346,0.805,-0.17557,-0.69418,-0.598,1851.5616,357.6061,7.01020951292994,1.7009295539305773,4.984687591456346,,135.999,-0.33791,19.15839
3-CN.log,3-CN,-513.065323046,-512.984848,-512.940307,,142.583,-0.34098,20.41774,20.758719999999997,1856.3657,395.7176,-0.523556,-0.69662,0.299281,0.50242,0.492603,0.80508,-0.916944,-0.59195,1.506391,-0.17138,-0.668886,-0.1319,-0.758158,-0.11605,-0.08132414285714284,0.8187319971589219,-0.057199999999999994,0.5033597586787634,,,,,,,1.3435305688465,1.1998415534269515,1.4889549075690638,6.935018791412064,1.7008361479124865,4.857309245649856,0.80508,-0.17138,-0.69662,-0.59195,1856.3657,395.7176,6.935018791412064,1.7008361479124865,4.857309245649856,,142.583,-0.34098,20.41774
3-NO2.log,3-NO2,-625.330059542,-625.246871,-625.200089,,139.565,-0.35489,19.60853,19.96342,1856.078,387.8464,-0.534815,-0.69417,0.299435,0.50263,0.376217,0.80468,-0.920644,-0.59187,1.568788,-0.16831,-0.839375,-0.12656,-0.549877,-0.14867,-0.08575299999999998,0.8264682920985449,-0.060324285714285705,0.5033181651474015,,,,,,,1.342343957241958,1.1998847072189895,1.489538649729506,7.50575035890872,1.7004198244149409,4.909640383836518,0.80468,-0.16831,-0.69417,-0.59187,1856.078,387.8464,7.50575035890872,1.7004198244149409,4.909640383836518,,139.565,-0.35489,19.60853
3-OMe.log,3-OMe,-535.345054308,-535.230768,-535.184898,,134.066,-0.29193,19.22555,19.51748,1848.1054,387.6622,-0.541014,-0.70439,0.299423,0.49834,0.485238,0.80567,-0.939365,-0.60107,1.754092,-0.15559,-0.878698,-0.18549,-0.480032,-0.26689,-0.04290800000000001,0.8917642839128349,-0.08706,0.511536380021709,,,,,,,1.3488360148001686,1.2010464852997986,1.4864749124670755,6.828398265476569,1.774589248336789,5.348020875263586,0.80567,-0.15559,-0.70439,-0.60107,1848.1054,387.6622,6.828398265476569,1.774589248336789,5.348020875263586,,134.066,-0.29193,19.22555
4-CF3.log,4-CF3,-757.906298618,-757.824061,-757.773107,,137.303,-0.34295,19.4269,19.769849999999998,1854.7548,375.6943,-0.538886,-0.69817,0.301611,0.50113,0.430305,0.80403,-0.924593,-0.59318,1.921533,-0.1591,-0.890277,-0.15027,-0.584392,-0.16142,-0.04067128571428572,0.9438688670346888,-0.06528285714285714,0.5044114984447374,,,,,,,1.3448146645225878,1.2000675677964971,1.489112878047195,8.115703504969106,2.234401748231411,3.332057394401267,0.80403,-0.1591,-0.69817,-0.59318,1854.7548,375.6943,8.115703504969106,2.234401748231411,3.332057394401267,,137.303,-0.34295,19.4269
4-CN.log,4-CN,-513.065174704,-512.984779,-512.940186,,159.411,-0.34281,18.59429,18.9371,1855.5075,393.2485,-0.529888,-0.69731,0.306987,0.50212,0.465378,0.8021,-0.899271,-0.59032,1.960494,-0.15334,-0.77177,-0.15159,-0.43783,-0.16377,0.01344285714285713,0.9281227688201642,-0.06458714285714284,0.5034623899051245,,,,,,,1.3440786286899287,1.1997986278009323,1.4896192814202562,8.780996747306624,1.7005033645508478,3.3346109802221315,0.8021,-0.15334,-0.69731,-0.59032,1855.5075,393.2485,8.780996747306624,1.7005033645508478,3.3346109802221315,,159.411,-0.34281,18.59429
4-CO2Me.log,4-CO2Me,-648.705246719,-648.583775,-648.532633,,175.557,-0.33237,20.32917,20.661540000000002,1851.1698,411.6237,-0.520714,-0.69926,0.297658,0.49981,0.33283,0.80275,-0.917014,-0.59539,1.538658,-0.15754,-0.563389,-0.18128,-0.476653,-0.1706,-0.04408914285714284,0.7755091010725846,-0.07164428571428572,0.5054738544279062,,,,,,,1.3458717289463362,1.20050235487066,1.4883748422645422,9.869950163505601,1.9049299387085559,3.319727380173875,0.80275,-0.15754,-0.69926,-0.59539,1851.1698,411.6237,9.869950163505601,1.9049299387085559,3.319727380173875,,175.557,-0.33237,20.32917
4-F.log,4-F,-520.071766225,-519.99662,-519.954546,,118.059,-0.32452,19.01752,19.34204,1847.964,399.485,-0.519286,-0.70209,0.307579,0.49935,0.451453,0.8056,-0.918575,-0.60316,1.873678,-0.20006,-0.895688,-0.1313,-0.475418,-0.14087,-0.02517957142857146,0.9216726311364352,-0.06750428571428572,0.5071326096751404,,,,,,,1.3472579638539905,1.2014672799344144,1.4828826732941482,7.428263929942788,1.7005388655667997,3.3268461019170408,0.8056,-0.20006,-0.70209,-0.60316,1847.964,399.485,7.428263929942788,1.7005388655667997,3.3268461019170408,,118.059,-0.32452,19.01752
4-NO2.log,4-NO2,-625.329597778,-625.246572,-625.199663,,148.45,-0.35252,19.48423,19.83675,1857.2547,370.5649,-0.543998,-0.69639,0.304666,0.5026,0.428366,0.80164,-0.917769,-0.58814,1.670558,-0.14816,-0.781423,-0.17098,-0.428667,-0.17053,-0.03832385714285713,0.8442590047639288,-0.06713714285714283,0.503532577544869,,,,,,,1.3433590170687806,1.1994917136745882,1.4912154042813532,8.213386636496505,1.7005268330854089,3.327022644334371,0.80164,-0.14816,-0.69639,-0.58814,1857.2547,370.5649,8.213386636496505,1.7005268330854089,3.327022644334371,,148.45,-0.35252,19.48423
