Entry,Ar1,Ar2,rate (kobs),ln(kobs),Ar1_NBO_C2,Ar1_NBO_=O,Ar1_NBO_-O,Ar1_v_C=O,Ar1_I_C=O,Ar1_Ster_L,Ar1_Ster_B1,Ar1_Ster_B5,Ar1_dp,Ar1_polar,Ar1_LUMO,Ar1_HOMO,Ar2_NBO_C2,Ar2_NBO_=O,Ar2_NBO_-O,Ar2_v_C=O,Ar2_I_C=O,Ar2_Ster_L,Ar2_Ster_B1,Ar2_Ster_B5,Ar2_dp,Ar2_polar,Ar2_LUMO,Ar2_HOMO,_join1,_join2,ar1_scf_energy_hartree,ar1_gibbs_free_energy_hartree,ar1_enthalpy_hartree,ar1_dipole_total_debye,ar1_isotropic_polarizability_au,ar1_homo_hartree,ar1_lumo_hartree,ar1_gap_hartree,ar1_ir_c_o_freq_cm1,ar1_ir_c_o_intensity_km_mol,ar1_q_a,ar1_nbo_q_a,ar1_q_b,ar1_nbo_q_b,ar1_q_c,ar1_nbo_q_c,ar1_q_d,ar1_nbo_q_d,ar1_q_e,ar1_nbo_q_e,ar1_q_f,ar1_nbo_q_f,ar1_q_g,ar1_nbo_q_g,ar1_q_mean,ar1_q_std,ar1_nbo_q_mean,ar1_nbo_q_std,ar1_nbo_bond_occ_c_a,ar1_nbo_bond_occ_c_d,ar1_nbo_bond_occ_c_e,ar1_nbo_bond_energy_c_a,ar1_nbo_bond_energy_c_d,ar1_nbo_bond_energy_c_e,ar1_bond_length_c_a,ar1_bond_length_c_d,ar1_bond_length_c_e,ar1_sterimol_L,ar1_sterimol_B1,ar1_sterimol_B5,ar1_Ar_NBO_C1,ar1_Ar_NBO_C2,ar1_Ar_NBO_OH,ar1_Ar_NBO_CO,ar1_Ar_v_CeqO,ar1_Ar_I_CeqO,ar1_Ar_Ster_L,ar1_Ar_Ster_B1,ar1_Ar_Ster_B5,ar1_Ar_dp,ar1_Ar_polar,ar1_Ar_HOMO,ar1_Ar_LUMO,ar2_scf_energy_hartree,ar2_gibbs_free_energy_hartree,ar2_enthalpy_hartree,ar2_dipole_total_debye,ar2_isotropic_polarizability_au,ar2_homo_hartree,ar2_lumo_hartree,ar2_gap_hartree,ar2_ir_c_o_freq_cm1,ar2_ir_c_o_intensity_km_mol,ar2_q_a,ar2_nbo_q_a,ar2_q_b,ar2_nbo_q_b,ar2_q_c,ar2_nbo_q_c,ar2_q_d,ar2_nbo_q_d,ar2_q_e,ar2_nbo_q_e,ar2_q_f,ar2_nbo_q_f,ar2_q_g,ar2_nbo_q_g,ar2_q_mean,ar2_q_std,ar2_nbo_q_mean,ar2_nbo_q_std,ar2_nbo_bond_occ_c_a,ar2_nbo_bond_occ_c_d,ar2_nbo_bond_occ_c_e,ar2_nbo_bond_energy_c_a,ar2_nbo_bond_energy_c_d,ar2_nbo_bond_energy_c_e,ar2_bond_length_c_a,ar2_bond_length_c_d,ar2_bond_length_c_e,ar2_sterimol_L,ar2_sterimol_B1,ar2_sterimol_B5,ar2_Ar_NBO_C1,ar2_Ar_NBO_C2,ar2_Ar_NBO_OH,ar2_Ar_NBO_CO,ar2_Ar_v_CeqO,ar2_Ar_I_CeqO,ar2_Ar_Ster_L,ar2_Ar_Ster_B1,ar2_Ar_Ster_B5,ar2_Ar_dp,ar2_Ar_polar,ar2_Ar_HOMO,ar2_Ar_LUMO
1,4-OMe,4-OMe,0.7123,-0.33925610799782885,-0.216,-0.611,-0.705,1839.28,444.9562,8.54,1.83,3.23,3.638326,108.240333,-0.01555,-0.29463,-0.216,-0.611,-0.705,1839.28,444.9562,8.54,1.83,3.23,3.638326,108.240333,-0.01555,-0.29463,4-OMe,4-OMe,-535.347230324,-535.232818,-535.187031,,154.982,-0.29463,19.15616,19.45079,1839.2772,444.9562,-0.537365,-0.70529,0.29139,0.49719,0.403575,0.80569,-0.930008,-0.61072,1.747343,-0.21608,-0.74392,-0.13251,-0.597812,-0.13594,-0.05239957142857142,0.8739271499391791,-0.07109428571428571,0.5090741656002912,,,,,,,1.3498198905042846,1.2028516495748758,1.4779589085329812,8.925073553789614,1.831658434441127,3.3205018209105446,0.80569,-0.21608,-0.70529,-0.61072,1839.2772,444.9562,8.925073553789614,1.831658434441127,3.3205018209105446,,154.982,-0.29463,19.15616,-535.347230324,-535.232818,-535.187031,,154.982,-0.29463,19.15616,19.45079,1839.2772,444.9562,-0.537365,-0.70529,0.29139,0.49719,0.403575,0.80569,-0.930008,-0.61072,1.747343,-0.21608,-0.74392,-0.13251,-0.597812,-0.13594,-0.05239957142857142,0.8739271499391791,-0.07109428571428571,0.5090741656002912,,,,,,,1.3498198905042846,1.2028516495748758,1.4779589085329812,8.925073553789614,1.831658434441127,3.3205018209105446,0.80569,-0.21608,-0.70529,-0.61072,1839.2772,444.9562,8.925073553789614,1.831658434441127,3.3205018209105446,,154.982,-0.29463,19.15616
2,H,H,0.2226,-1.5023788401406926,-0.181,-0.603,-0.701,1848.02,391.1199,6.39,1.7,3.22,2.075965,87.513,-0.02742,-0.32424,-0.181,-0.603,-0.701,1848.02,391.1199,6.39,1.7,3.22,2.075965,87.513,-0.02742,-0.32424,H,H,-420.81890611,-420.734365,-420.694303,,115.789,-0.32424,19.02137,19.34561,1848.0244,391.1199,-0.517215,-0.70145,0.304029,0.49829,0.33386,0.80505,-0.910853,-0.6028,1.772444,-0.18103,-1.003031,-0.15298,-0.562353,-0.1626,-0.0833027142857143,0.9036714872064506,-0.07107428571428571,0.5069588588226618,,,,,,,1.3473714167552318,1.201455266566342,1.4853725495477557,6.833740509022571,1.700512617038096,3.332698572840575,0.80505,-0.18103,-0.70145,-0.6028,1848.0244,391.1199,6.833740509022571,1.700512617038096,3.332698572840575,,115.789,-0.32424,19.02137,-420.81890611,-420.734365,-420.694303,,115.789,-0.32424,19.02137,19.34561,1848.0244,391.1199,-0.517215,-0.70145,0.304029,0.49829,0.33386,0.80505,-0.910853,-0.6028,1.772444,-0.18103,-1.003031,-0.15298,-0.562353,-0.1626,-0.0833027142857143,0.9036714872064506,-0.07107428571428571,0.5069588588226618,,,,,,,1.3473714167552318,1.201455266566342,1.4853725495477557,6.833740509022571,1.700512617038096,3.332698572840575,0.80505,-0.18103,-0.70145,-0.6028,1848.0244,391.1199,6.833740509022571,1.700512617038096,3.332698572840575,,115.789,-0.32424,19.02137
3,4-F,4-F,0.0882,-2.4281483159693913,-0.2,-0.603,-0.702,1847.96,399.485,6.99,1.7,3.22,1.401426,87.804,-0.02792,-0.32452,-0.2,-0.603,-0.702,1847.96,399.485,6.99,1.7,3.22,1.401426,87.804,-0.02792,-0.32452,4-F,4-F,-520.071766225,-519.99662,-519.954546,,118.059,-0.32452,19.01752,19.34204,1847.964,399.485,-0.519286,-0.70209,0.307579,0.49935,0.451453,0.8056,-0.918575,-0.60316,1.873678,-0.20006,-0.895688,-0.1313,-0.475418,-0.14087,-0.02517957142857146,0.9216726311364352,-0.06750428571428572,0.5071326096751404,,,,,,,1.3472579638539905,1.2014672799344144,1.4828826732941482,7.428263929942788,1.7005388655667997,3.3268461019170408,0.8056,-0.20006,-0.70209,-0.60316,1847.964,399.485,7.428263929942788,1.7005388655667997,3.3268461019170408,,118.059,-0.32452,19.01752,-520.071766225,-519.99662,-519.954546,,118.059,-0.32452,19.01752,19.34204,1847.964,399.485,-0.519286,-0.70209,0.307579,0.49935,0.451453,0.8056,-0.918575,-0.60316,1.873678,-0.20006,-0.895688,-0.1313,-0.475418,-0.14087,-0.02517957142857146,0.9216726311364352,-0.06750428571428572,0.5071326096751404,,,,,,,1.3472579638539905,1.2014672799344144,1.4828826732941482,7.428263929942788,1.7005388655667997,3.3268461019170408,0.8056,-0.20006,-0.70209,-0.60316,1847.964,399.485,7.428263929942788,1.7005388655667997,3.3268461019170408,,118.059,-0.32452,19.01752
4,4-CF3,4-CF3,0.0086,-4.755993075722675,-0.159,-0.593,-0.698,1854.75,375.6943,7.75,2.17,3.22,2.001325,101.249,-0.04827,-0.34295,-0.159,-0.593,-0.698,1854.75,375.6943,7.75,2.17,3.22,2.001325,101.249,-0.04827,-0.34295,4-CF3,4-CF3,-757.906298618,-757.824061,-757.773107,,137.303,-0.34295,19.4269,19.769849999999998,1854.7548,375.6943,-0.538886,-0.69817,0.301611,0.50113,0.430305,0.80403,-0.924593,-0.59318,1.921533,-0.1591,-0.890277,-0.15027,-0.584392,-0.16142,-0.04067128571428572,0.9438688670346888,-0.06528285714285714,0.5044114984447374,,,,,,,1.3448146645225878,1.2000675677964971,1.489112878047195,8.115703504969106,2.234401748231411,3.332057394401267,0.80403,-0.1591,-0.69817,-0.59318,1854.7548,375.6943,8.115703504969106,2.234401748231411,3.332057394401267,,137.303,-0.34295,19.4269,-757.906298618,-757.824061,-757.773107,,137.303,-0.34295,19.4269,19.769849999999998,1854.7548,375.6943,-0.538886,-0.69817,0.301611,0.50113,0.430305,0.80403,-0.924593,-0.59318,1.921533,-0.1591,-0.890277,-0.15027,-0.584392,-0.16142,-0.04067128571428572,0.9438688670346888,-0.06528285714285714,0.5044114984447374,,,,,,,1.3448146645225878,1.2000675677964971,1.489112878047195,8.115703504969106,2.234401748231411,3.332057394401267,0.80403,-0.1591,-0.69817,-0.59318,1854.7548,375.6943,8.115703504969106,2.234401748231411,3.332057394401267,,137.303,-0.34295,19.4269
5,4-CN,4-CN,0.0037,-5.599422459331958,-0.153,-0.598,-0.697,1855.51,393.2485,8.22,1.7,3.22,3.576998,106.042333,-0.06346,-0.34281,-0.153,-0.598,-0.697,1855.51,393.2485,8.22,1.7,3.22,3.576998,106.042333,-0.06346,-0.34281,4-CN,4-CN,-513.065174704,-512.984779,-512.940186,,159.411,-0.34281,18.59429,18.9371,1855.5075,393.2485,-0.529888,-0.69731,0.306987,0.50212,0.465378,0.8021,-0.899271,-0.59032,1.960494,-0.15334,-0.77177,-0.15159,-0.43783,-0.16377,0.01344285714285713,0.9281227688201642,-0.06458714285714284,0.5034623899051245,,,,,,,1.3440786286899287,1.1997986278009323,1.4896192814202562,8.780996747306624,1.7005033645508478,3.3346109802221315,0.8021,-0.15334,-0.69731,-0.59032,1855.5075,393.2485,8.780996747306624,1.7005033645508478,3.3346109802221315,,159.411,-0.34281,18.59429,-513.065174704,-512.984779,-512.940186,,159.411,-0.34281,18.59429,18.9371,1855.5075,393.2485,-0.529888,-0.69731,0.306987,0.50212,0.465378,0.8021,-0.899271,-0.59032,1.960494,-0.15334,-0.77177,-0.15159,-0.43783,-0.16377,0.01344285714285713,0.9281227688201642,-0.06458714285714284,0.5034623899051245,,,,,,,1.3440786286899287,1.1997986278009323,1.4896192814202562,8.780996747306624,1.7005033645508478,3.3346109802221315,0.8021,-0.15334,-0.69731,-0.59032,1855.5075,393.2485,8.780996747306624,1.7005033645508478,3.3346109802221315,,159.411,-0.34281,18.59429
6,4-NO2,4-NO2,0.0017,-6.3771270279199666,-0.148,-0.588,-0.696,1857.25,370.5649,7.72,1.7,3.23,3.630021,105.602667,-0.08032,-0.35252,-0.148,-0.588,-0.696,1857.25,370.5649,7.72,1.7,3.23,3.630021,105.602667,-0.08032,-0.35252,4-NO2,4-NO2,-625.329597778,-625.246572,-625.199663,,148.45,-0.35252,19.48423,19.83675,1857.2547,370.5649,-0.543998,-0.69639,0.304666,0.5026,0.428366,0.80164,-0.917769,-0.58814,1.670558,-0.14816,-0.781423,-0.17098,-0.428667,-0.17053,-0.03832385714285713,0.8442590047639288,-0.06713714285714283,0.503532577544869,,,,,,,1.3433590170687806,1.1994917136745882,1.4912154042813532,8.213386636496505,1.7005268330854089,3.327022644334371,0.80164,-0.14816,-0.69639,-0.58814,1857.2547,370.5649,8.213386636496505,1.7005268330854089,3.327022644334371,,148.45,-0.35252,19.48423,-625.329597778,-625.246572,-625.199663,,148.45,-0.35252,19.48423,19.83675,1857.2547,370.5649,-0.543998,-0.69639,0.304666,0.5026,0.428366,0.80164,-0.917769,-0.58814,1.670558,-0.14816,-0.781423,-0.17098,-0.428667,-0.17053,-0.03832385714285713,0.8442590047639288,-0.06713714285714283,0.503532577544869,,,,,,,1.3433590170687806,1.1994917136745882,1.4912154042813532,8.213386636496505,1.7005268330854089,3.327022644334371,0.80164,-0.14816,-0.69639,-0.58814,1857.2547,370.5649,8.213386636496505,1.7005268330854089,3.327022644334371,,148.45,-0.35252,19.48423
7,4-CF3,4-OMe,0.0554,-2.893175685228899,-0.159,-0.593,-0.698,1854.75,375.6943,7.75,2.17,3.22,2.001325,101.249,-0.04827,-0.34295,-0.216,-0.611,-0.705,1839.28,444.9562,8.54,1.83,3.23,3.638326,108.240333,-0.01555,-0.29463,4-CF3,4-OMe,-757.906298618,-757.824061,-757.773107,,137.303,-0.34295,19.4269,19.769849999999998,1854.7548,375.6943,-0.538886,-0.69817,0.301611,0.50113,0.430305,0.80403,-0.924593,-0.59318,1.921533,-0.1591,-0.890277,-0.15027,-0.584392,-0.16142,-0.04067128571428572,0.9438688670346888,-0.06528285714285714,0.5044114984447374,,,,,,,1.3448146645225878,1.2000675677964971,1.489112878047195,8.115703504969106,2.234401748231411,3.332057394401267,0.80403,-0.1591,-0.69817,-0.59318,1854.7548,375.6943,8.115703504969106,2.234401748231411,3.332057394401267,,137.303,-0.34295,19.4269,-535.347230324,-535.232818,-535.187031,,154.982,-0.29463,19.15616,19.45079,1839.2772,444.9562,-0.537365,-0.70529,0.29139,0.49719,0.403575,0.80569,-0.930008,-0.61072,1.747343,-0.21608,-0.74392,-0.13251,-0.597812,-0.13594,-0.05239957142857142,0.8739271499391791,-0.07109428571428571,0.5090741656002912,,,,,,,1.3498198905042846,1.2028516495748758,1.4779589085329812,8.925073553789614,1.831658434441127,3.3205018209105446,0.80569,-0.21608,-0.70529,-0.61072,1839.2772,444.9562,8.925073553789614,1.831658434441127,3.3205018209105446,,154.982,-0.29463,19.15616
8,4-CF3,4-F,0.0367,-3.3049785239216125,-0.159,-0.593,-0.698,1854.75,375.6943,7.75,2.17,3.22,2.001325,101.249,-0.04827,-0.34295,-0.2,-0.603,-0.702,1847.96,399.485,6.99,1.7,3.22,1.401426,87.804,-0.02792,-0.32452,4-CF3,4-F,-757.906298618,-757.824061,-757.773107,,137.303,-0.34295,19.4269,19.769849999999998,1854.7548,375.6943,-0.538886,-0.69817,0.301611,0.50113,0.430305,0.80403,-0.924593,-0.59318,1.921533,-0.1591,-0.890277,-0.15027,-0.584392,-0.16142,-0.04067128571428572,0.9438688670346888,-0.06528285714285714,0.5044114984447374,,,,,,,1.3448146645225878,1.2000675677964971,1.489112878047195,8.115703504969106,2.234401748231411,3.332057394401267,0.80403,-0.1591,-0.69817,-0.59318,1854.7548,375.6943,8.115703504969106,2.234401748231411,3.332057394401267,,137.303,-0.34295,19.4269,-520.071766225,-519.99662,-519.954546,,118.059,-0.32452,19.01752,19.34204,1847.964,399.485,-0.519286,-0.70209,0.307579,0.49935,0.451453,0.8056,-0.918575,-0.60316,1.873678,-0.20006,-0.895688,-0.1313,-0.475418,-0.14087,-0.02517957142857146,0.9216726311364352,-0.06750428571428572,0.5071326096751404,,,,,,,1.3472579638539905,1.2014672799344144,1.4828826732941482,7.428263929942788,1.7005388655667997,3.3268461019170408,0.8056,-0.20006,-0.70209,-0.60316,1847.964,399.485,7.428263929942788,1.7005388655667997,3.3268461019170408,,118.059,-0.32452,19.01752
9,3-OMe,3-OMe,0.1209,-2.11279152136139,-0.156,-0.601,-0.704,1848.11,387.6622,7.24,1.82,4.69,2.558163,106.115667,-0.02669,-0.29193,-0.156,-0.601,-0.704,1848.11,387.6622,7.24,1.82,4.69,2.558163,106.115667,-0.02669,-0.29193,3-OMe,3-OMe,-535.345054308,-535.230768,-535.184898,,134.066,-0.29193,19.22555,19.51748,1848.1054,387.6622,-0.541014,-0.70439,0.299423,0.49834,0.485238,0.80567,-0.939365,-0.60107,1.754092,-0.15559,-0.878698,-0.18549,-0.480032,-0.26689,-0.04290800000000001,0.8917642839128349,-0.08706,0.511536380021709,,,,,,,1.3488360148001686,1.2010464852997986,1.4864749124670755,6.828398265476569,1.774589248336789,5.348020875263586,0.80567,-0.15559,-0.70439,-0.60107,1848.1054,387.6622,6.828398265476569,1.774589248336789,5.348020875263586,,134.066,-0.29193,19.22555,-535.345054308,-535.230768,-535.184898,,134.066,-0.29193,19.22555,19.51748,1848.1054,387.6622,-0.541014,-0.70439,0.299423,0.49834,0.485238,0.80567,-0.939365,-0.60107,1.754092,-0.15559,-0.878698,-0.18549,-0.480032,-0.26689,-0.04290800000000001,0.8917642839128349,-0.08706,0.511536380021709,,,,,,,1.3488360148001686,1.2010464852997986,1.4864749124670755,6.828398265476569,1.774589248336789,5.348020875263586,0.80567,-0.15559,-0.70439,-0.60107,1848.1054,387.6622,6.828398265476569,1.774589248336789,5.348020875263586,,134.066,-0.29193,19.22555
10,3-CHO,3-CHO,0.0282,-3.5684333010380693,-0.176,-0.598,-0.694,1851.56,357.6061,6.92,1.7,4.37,2.317463,103.719667,-0.05033,-0.33791,-0.176,-0.598,-0.694,1851.56,357.6061,6.92,1.7,4.37,2.317463,103.719667,-0.05033,-0.33791,3-CHO,3-CHO,-534.145786347,-534.054916,-534.009808,,135.999,-0.33791,19.15839,19.4963,1851.5616,357.6061,-0.527848,-0.69418,0.295569,0.50031,0.464937,0.805,-0.9263,-0.598,1.460197,-0.17557,-0.712374,-0.12849,-0.615591,-0.11443,-0.08020142857142856,0.7940637828632546,-0.05790857142857142,0.5035275393072521,,,,,,,1.3433333154381306,1.2008491469601836,1.4885223831706393,7.01020951292994,1.7009295539305773,4.984687591456346,0.805,-0.17557,-0.69418,-0.598,1851.5616,357.6061,7.01020951292994,1.7009295539305773,4.984687591456346,,135.999,-0.33791,19.15839,-534.145786347,-534.054916,-534.009808,,135.999,-0.33791,19.15839,19.4963,1851.5616,357.6061,-0.527848,-0.69418,0.295569,0.50031,0.464937,0.805,-0.9263,-0.598,1.460197,-0.17557,-0.712374,-0.12849,-0.615591,-0.11443,-0.08020142857142856,0.7940637828632546,-0.05790857142857142,0.5035275393072521,,,,,,,1.3433333154381306,1.2008491469601836,1.4885223831706393,7.01020951292994,1.7009295539305773,4.984687591456346,0.805,-0.17557,-0.69418,-0.598,1851.5616,357.6061,7.01020951292994,1.7009295539305773,4.984687591456346,,135.999,-0.33791,19.15839
