k,features,R2,Q2,RMSE,sampled
5,Ar2_LUMO|Ar1_v_C=O|Entry|ar2_enthalpy_hartree|Ar1_I_C=O,0.9942250017610773,0.9792869362963176,0.14139329084126448,0
5,Ar2_LUMO|Ar1_v_C=O|Ar2_NBO_-O|ar2_enthalpy_hartree|Ar1_I_C=O,0.9911237616488922,0.9698241408885142,0.17529412153082966,0
5,prod_homo_hartree|Ar1_v_C=O|Ar1_HOMO|Ar2_I_C=O|Ar1_I_C=O,0.9869333469532189,0.9675303668504105,0.21268411492654404,0
5,Ar1_LUMO|Ar2_v_C=O|Entry|Ar2_I_C=O|sum_enthalpy_hartree,0.9903099104083681,0.9667775768071736,0.1831541529956568,0
5,Ar1_LUMO|Ar2_v_C=O|Entry|Ar2_I_C=O|ar2_enthalpy_hartree,0.9915979904889566,0.9655202870905903,0.170547147069075,0
4,Ar2_LUMO|Ar1_v_C=O|ar2_enthalpy_hartree|Ar1_I_C=O,0.9887592858085962,0.9641973177553538,0.1972649047934627,0
5,Ar2_LUMO|Ar1_v_C=O|Entry|Ar1_I_C=O|sum_enthalpy_hartree,0.9920377621598219,0.9630789420876253,0.16602383735119267,0
5,Ar2_LUMO|Ar1_v_C=O|Ar1_NBO_=O|ar2_enthalpy_hartree|Ar1_I_C=O,0.990227621864657,0.9611957407876314,0.18393018435413894,0
5,Ar2_LUMO|Ar1_v_C=O|Ar1_NBO_C2|ar2_enthalpy_hartree|Ar1_I_C=O,0.9898804073896139,0.958703224334704,0.18716920215473767,0
5,Ar1_LUMO|Ar2_LUMO|Ar1_v_C=O|Ar2_I_C=O|ar2_enthalpy_hartree,0.9883416529230684,0.9584605247106237,0.20089603469067863,0
5,Ar2_LUMO|Ar1_v_C=O|Ar2_HOMO|ar2_enthalpy_hartree|Ar1_I_C=O,0.9888370810401911,0.9575520973082136,0.19658109977637098,0
5,Ar1_LUMO|Ar2_LUMO|Ar1_v_C=O|Ar2_I_C=O|sum_enthalpy_hartree,0.989032847275497,0.9572382955805945,0.19484973529508118,0
5,Ar2_LUMO|Ar1_v_C=O|Ar2_v_C=O|Ar2_I_C=O|ar2_enthalpy_hartree,0.9891358799559875,0.9565775562934288,0.19393230187516447,0
5,Ar1_LUMO|Ar2_v_C=O|Ar1_NBO_-O|Ar2_I_C=O|sum_enthalpy_hartree,0.9876639403519339,0.9553797920499807,0.20665270994620913,0
5,Ar2_LUMO|Ar1_v_C=O|Ar2_NBO_-O|Ar1_I_C=O|sum_enthalpy_hartree,0.9896192840785237,0.9541792458430141,0.18956865450742616,0
5,Ar2_LUMO|Ar1_v_C=O|ar2_enthalpy_hartree|Ar1_I_C=O|sum_enthalpy_hartree,0.9890900653041695,0.9532548466257674,0.19434078380771913,0
5,Ar2_LUMO|Ar1_v_C=O|Ar1_HOMO|Ar1_NBO_C2|sum_enthalpy_hartree,0.9807695455089546,0.9524771569498073,0.25801660038418506,0
5,Ar2_LUMO|Ar1_v_C=O|Ar2_NBO_=O|ar2_enthalpy_hartree|Ar1_I_C=O,0.9888938586822061,0.9523340914976814,0.1960805299857863,0
5,Ar2_LUMO|prod_homo_hartree|Ar1_v_C=O|ar2_enthalpy_hartree|Ar1_I_C=O,0.988825592170099,0.9522261281499709,0.19668223434137486,0
5,Ar2_LUMO|sum_homo_hartree|Ar1_v_C=O|ar2_enthalpy_hartree|Ar1_I_C=O,0.9888160048602623,0.9510484427676009,0.1967665900076192,0
4,Ar2_LUMO|Ar1_v_C=O|Entry|Ar1_I_C=O,0.974464995943925,0.9510065184625929,0.29731775171631225,0
5,Ar2_LUMO|sum_homo_hartree|Ar1_v_C=O|Ar1_NBO_C2|ar2_enthalpy_hartree,0.981397874773438,0.9509273479472494,0.2537664219656194,0
5,Ar2_LUMO|Ar1_v_C=O|Ar1_NBO_=O|Entry|sum_enthalpy_hartree,0.9806558302275606,0.9503467003777173,0.25877833962111724,0
5,Ar2_LUMO|Ar2_v_C=O|Ar2_I_C=O|ar2_enthalpy_hartree|Ar1_I_C=O,0.9883328886042255,0.9503023089607439,0.2009715336488227,0
3,Ar2_LUMO|Ar1_v_C=O|Ar1_I_C=O,0.9669494990305579,0.9500128072110968,0.3382531875236489,0
5,Ar2_LUMO|Ar1_v_C=O|Ar1_NBO_-O|ar2_enthalpy_hartree|Ar1_I_C=O,0.9905449310515707,0.9496215501004338,0.18091943572834393,0
5,Ar2_LUMO|Ar2_v_C=O|Ar2_I_C=O|Ar1_I_C=O|sum_enthalpy_hartree,0.9891259410669557,0.9495707939495344,0.19402098972984613,0
5,Ar2_LUMO|prod_homo_hartree|Ar1_v_C=O|Ar1_NBO_C2|ar2_enthalpy_hartree,0.980925881290037,0.9492159243930538,0.2569656750660088,0
5,prod_homo_hartree|Ar1_v_C=O|Ar2_v_C=O|Ar2_HOMO|Ar1_I_C=O,0.9861708851128262,0.9490710308781046,0.2188013850196187,0
5,Ar1_LUMO|Ar2_v_C=O|Ar1_NBO_-O|Ar2_I_C=O|ar2_enthalpy_hartree,0.988003998412206,0.9469698858962246,0.20378449229869355,0
5,Ar2_LUMO|Ar1_v_C=O|Ar2_I_C=O|ar2_enthalpy_hartree|Ar1_I_C=O,0.9887838215504898,0.9463721811957604,0.19704949655737172,0
5,Ar2_LUMO|Ar1_v_C=O|Ar2_v_C=O|ar2_enthalpy_hartree|Ar1_I_C=O,0.9888162170570044,0.9454892316359449,0.1967647233478577,0
4,Ar2_LUMO|Ar1_v_C=O|Ar1_I_C=O|sum_enthalpy_hartree,0.9857801572563779,0.9453641130859298,0.22187086230153583,0
5,Ar1_v_C=O|Ar1_NBO_-O|Ar2_NBO_C2|ar2_enthalpy_hartree|Ar1_I_C=O,0.9741256830626721,0.9452579255374465,0.29928663356248486,0
5,Ar2_LUMO|Ar1_v_C=O|Ar1_HOMO|Ar1_NBO_C2|ar2_enthalpy_hartree,0.9803528015969661,0.9450576797373972,0.26079735943779364,0
5,Ar2_LUMO|Ar1_v_C=O|Ar2_NBO_C2|ar2_enthalpy_hartree|Ar1_I_C=O,0.988989986373461,0.9447419140494628,0.1952301116761373,0
5,Ar2_LUMO|Ar1_v_C=O|Ar1_NBO_C2|Entry|Ar1_I_C=O,0.9749515179716096,0.9445602881929618,0.29447171152578694,0
4,Ar2_LUMO|Ar1_v_C=O|Ar2_NBO_C2|Ar1_I_C=O,0.9670358911603072,0.9441292206857576,0.3378108109508611,0
4,Ar2_LUMO|Ar1_v_C=O|Ar2_NBO_-O|Ar1_I_C=O,0.9721242532002,0.9432734016005652,0.3106462604919359,0
5,Ar1_LUMO|Ar2_LUMO|Ar1_v_C=O|ar2_enthalpy_hartree|Ar1_I_C=O,0.9889066576560988,0.9429086091937523,0.19596751354884318,0
4,Ar2_LUMO|Ar1_v_C=O|Ar1_NBO_C2|Ar1_I_C=O,0.9679793202319033,0.9429002125320431,0.3329416658273603,0
4,Ar1_LUMO|Ar2_v_C=O|Ar2_I_C=O|sum_enthalpy_hartree,0.9838354043922317,0.9428225536156148,0.236556723701647,0
5,prod_homo_hartree|sum_homo_hartree|Ar1_v_C=O|Ar2_NBO_-O|Ar1_I_C=O,0.9798011492338239,0.9424711996355924,0.2644333364796243,0
5,Ar2_LUMO|sum_homo_hartree|Ar1_v_C=O|Ar1_NBO_C2|sum_enthalpy_hartree,0.9788900235019546,0.9418635240522438,0.2703315592370445,0
